SRP	ACCESSION	RUN_SET.RUN.IDENTIFIERS.PRIMARY_ID	SAMPLE.SAMPLE_NAME.TAXON_ID	Pool.Member.@sample_title	replicate	infection	sequencing_library_method	lab_host	passage_history	serotype	case history of originator	genotype/variation	timepoint_days_post_infection	stress	polysome fraction	biological replicates	barcode	isolation_source	knockdown	age	note	donor id	cell line background	reference genome	source_name	disease	treatment	tissue	genotype	genetics	overexpression	tumor type	isolate	geo_loc_name	chip antibody	time	ectopic e2f-1 expressed	treatment2	genetic aberration	shRNA	treated with	concentration	sample_type	agent	time point	cell line	tissue source	treatment1	BioSampleModel	antibody	collection_date	mtap status	incubation time	vector	conditions	transfection	condition	cell type	culture type	time of treatment
SRP310288	SRX10322196	SRR13943156	9606	Vector1							HBs-Ag positive hepato cellular carcinoma (Ed.III) with liver cirrhosis. HBs-Ag(+), HBs-Ab(-), HBe-Ag(-), HBe-Ab(+), HBc-Ab(+), AFP positive (110,000 ng/ml).														Vector, JHH-7 cells		Empty vector transfection		control																	HCC cell line JHH-7														
SRP310288	SRX10322197	SRR13943157	9606	Vector2							HBs-Ag positive hepato cellular carcinoma (Ed.III) with liver cirrhosis. HBs-Ag(+), HBs-Ab(-), HBe-Ag(-), HBe-Ab(+), HBc-Ab(+), AFP positive (110,000 ng/ml).														Vector, JHH-7 cells		Empty vector transfection		control																	HCC cell line JHH-7														
SRP310288	SRX10322198	SRR13943158	9606	Vector3							HBs-Ag positive hepato cellular carcinoma (Ed.III) with liver cirrhosis. HBs-Ag(+), HBs-Ab(-), HBe-Ag(-), HBe-Ab(+), HBc-Ab(+), AFP positive (110,000 ng/ml).														Vector, JHH-7 cells		Empty vector transfection		control																	HCC cell line JHH-7														
SRP310288	SRX10322199	SRR13943159	9606	shPRMT5_1							HBs-Ag positive hepato cellular carcinoma (Ed.III) with liver cirrhosis. HBs-Ag(+), HBs-Ab(-), HBe-Ag(-), HBe-Ab(+), HBc-Ab(+), AFP positive (110,000 ng/ml).														shPRMT5, JHH-7 cells		PRMT5 shRNA transfection		PRMT5 knockdown																	HCC cell line JHH-7														
SRP310288	SRX10322200	SRR13943160	9606	shPRMT5_2							HBs-Ag positive hepato cellular carcinoma (Ed.III) with liver cirrhosis. HBs-Ag(+), HBs-Ab(-), HBe-Ag(-), HBe-Ab(+), HBc-Ab(+), AFP positive (110,000 ng/ml).														shPRMT5, JHH-7 cells		PRMT5 shRNA transfection		PRMT5 knockdown																	HCC cell line JHH-7														
SRP310288	SRX10322201	SRR13943161	9606	shPRMT5_3							HBs-Ag positive hepato cellular carcinoma (Ed.III) with liver cirrhosis. HBs-Ag(+), HBs-Ab(-), HBe-Ag(-), HBe-Ab(+), HBc-Ab(+), AFP positive (110,000 ng/ml).														shPRMT5, JHH-7 cells		PRMT5 shRNA transfection		PRMT5 knockdown																	HCC cell line JHH-7														
SRP319164	SRX10828151	SRR14479966	9606	RNA-seq_MCF7_1																					parental MCF7		untreated																			MCF7														
SRP319164	SRX10828152	SRR14479967	9606	RNA-seq_MCF7_2																					parental MCF7		untreated																			MCF7														
SRP319164	SRX10828153	SRR14479968	9606	RNA-seq_MCF7-DR_1																					doxorubicin-resistant MCF7 (MCF7-DR)		treated with 1 μM doxorubicin hydrochloride																			MCF7-DR														
SRP319164	SRX10828154	SRR14479969	9606	RNA-seq_MCF7-DR_2																					doxorubicin-resistant MCF7 (MCF7-DR)		treated with 1 μM doxorubicin hydrochloride																			MCF7-DR														
SRP319164	SRX10828155	SRR14479970	9606	ATAC-seq_MCF7_1																					parental MCF7		untreated																			MCF7														
SRP319164	SRX10828156	SRR14479971	9606	ATAC-seq_MCF7_2																					parental MCF7		untreated																			MCF7														
SRP319164	SRX10828157	SRR14479972	9606	ATAC-seq_MCF7-DR_1																					doxorubicin-resistant MCF7 (MCF7-DR)		treated with 1 μM doxorubicin hydrochloride																			MCF7-DR														
SRP319164	SRX10828158	SRR14479973	9606	ATAC-seq_MCF7-DR_2																					doxorubicin-resistant MCF7 (MCF7-DR)		treated with 1 μM doxorubicin hydrochloride																			MCF7-DR														
SRP320300	SRX10918588	SRR14575418	9606	H1975_DMSO_1	1																				Cancer cell line		DMSO																			H1975														
SRP320300	SRX10918589	SRR14575419	9606	H1975_DMSO_2	2																				Cancer cell line		DMSO																			H1975														
SRP320300	SRX10918590	SRR14575420	9606	H1975_DMSO_3	3																				Cancer cell line		DMSO																			H1975														
SRP320300	SRX10918591	SRR14575421	9606	H1975_PRMT5i_1	1																				Cancer cell line		PRMT5i																			H1975														
SRP320300	SRX10918592	SRR14575422	9606	H1975_PRMT5i_2	2																				Cancer cell line		PRMT5i																			H1975														
SRP320300	SRX10918593	SRR14575423	9606	H1975_PRMT5i_3	3																				Cancer cell line		PRMT5i																			H1975														
SRP320300	SRX10918594	SRR14575424	9606	A427_DMSO_1	1																				Cancer cell line		DMSO																			A427														
SRP320300	SRX10918595	SRR14575425	9606	A427_DMSO_2	2																				Cancer cell line		DMSO																			A427														
SRP320300	SRX10918596	SRR14575426	9606	A427_DMSO_3	3																				Cancer cell line		DMSO																			A427														
SRP320300	SRX10918597	SRR14575427	9606	A427_PRMT5i_1	1																				Cancer cell line		PRMT5i																			A427														
SRP320300	SRX10918598	SRR14575428	9606	A427_PRMT5i_2	2																				Cancer cell line		PRMT5i																			A427														
SRP320300	SRX10918599	SRR14575429	9606	A427_PRMT5i_3	3																				Cancer cell line		PRMT5i																			A427														
SRP320300	SRX10918600	SRR14575430	9606	H441_DMSO_1	1																				Cancer cell line		DMSO																			H441														
SRP320300	SRX10918601	SRR14575431	9606	H441_DMSO_2	2																				Cancer cell line		DMSO																			H441														
SRP320300	SRX10918602	SRR14575432	9606	H441_DMSO_3	3																				Cancer cell line		DMSO																			H441														
SRP320300	SRX10918603	SRR14575433	9606	H441_PRMT5i_1	1																				Cancer cell line		PRMT5i																			H441														
SRP320300	SRX10918604	SRR14575434	9606	H441_PRMT5i_2	2																				Cancer cell line		PRMT5i																			H441														
SRP320300	SRX10918605	SRR14575435	9606	H441_PRMT5i_3	3																				Cancer cell line		PRMT5i																			H441														
SRP323714	SRX11118933	SRR14785630	9606	ADA PRMT5 Rep1																48Y					HCT116 CCL-247_ADA PRMT5		ADA treatment		MTAP-/-																	HCT116	Colorectal													
SRP323714	SRX11118934	SRR14785631	9606	ADA PRMT5 Rep2																48Y					HCT116 CCL-247_ADA PRMT5		ADA treatment		MTAP-/-																	HCT116	Colorectal													
SRP323714	SRX11118935	SRR14785632	9606	ADA PRMT5 Rep3																48Y					HCT116 CCL-247_ADA PRMT5		ADA treatment		MTAP-/-																	HCT116	Colorectal													
SRP323714	SRX11118936	SRR14785633	9606	WT PRMT5 Rep1																48Y					HCT116 CCL-247_WT PRMT5		WT		MTAP-/-																	HCT116	Colorectal													
SRP323714	SRX11118937	SRR14785634	9606	WT PRMT5 Rep2																48Y					HCT116 CCL-247_WT PRMT5		WT		MTAP-/-																	HCT116	Colorectal													
SRP323714	SRX11118938	SRR14785635	9606	WT PRMT5 Rep3																48Y					HCT116 CCL-247_WT PRMT5		WT		MTAP-/-																	HCT116	Colorectal													
SRP324755	SRX11185462	SRR14867935	9606	NCI-H460 cells, GFPkd1																					Human lung adenocarcinoma cell line		lentivirus infection NCI-H460 for shRNA against GFP		control																	NCI-H460														
SRP324755	SRX11185463	SRR14867936	9606	NCI-H460 cells, GFPkd2																					Human lung adenocarcinoma cell line		lentivirus infection NCI-H460 for shRNA against GFP		control																	NCI-H460														
SRP324755	SRX11185464	SRR14867937	9606	NCI-H460 cells, GFPkd3																					Human lung adenocarcinoma cell line		lentivirus infection NCI-H460 for shRNA against GFP		control																	NCI-H460														
SRP324755	SRX11185465	SRR14867938	9606	NCI-H460 cells, PRMT5kd1																					Human lung adenocarcinoma cell line		lentivirus infection NCI-H460 for shRNA against PRMT5		PRMT5 knockdown																	NCI-H460														
SRP324755	SRX11185466	SRR14867939	9606	NCI-H460 cells, PRMT5kd2																					Human lung adenocarcinoma cell line		lentivirus infection NCI-H460 for shRNA against PRMT5		PRMT5 knockdown																	NCI-H460														
SRP324755	SRX11185467	SRR14867940	9606	NCI-H460 cells, PRMT5kd3																					Human lung adenocarcinoma cell line		lentivirus infection NCI-H460 for shRNA against PRMT5		PRMT5 knockdown																	NCI-H460														
SRP324902	SRX11189848	SRR14872397	9606	CHLA_20_DMSO_rep1																					CHLA-20 cells treated with DMSO replicate 1		DMSO																			CHLA-20														
SRP324902	SRX11189849	SRR14872398	9606	CHLA_20_DMSO_rep2																					CHLA-20 cells treated with DMSO replicate 2		DMSO																			CHLA-20														
