gene	SRR14872400	SRR14872399	SRR14872398	SRR14872397
ALU	0.9998943180474154	0.9856875585555486	0.9996937836500991	0.9949196495503072
AluJb	2.507853573751965	2.5302239724494413	2.521255162480382	2.5026988576720433
AluJo	-0.41953242728147294	-0.4196078852621768	-0.4242919810821384	-0.41966329209403386
AluJr	-1.0078016195048745	-0.9984942969949202	-1.0078376737814554	-1.0078514128339764
AluJr4	-1.726808352971705	-1.7242217083932616	-1.7268284279161763	-1.7268467573072492
AluSc	3.8137799432807378	3.7815225614944277	3.8259818259216383	3.8504096414849007
AluSc5	3.8957753675221767	3.9341921949738046	3.899467843591713	3.9416354239172833
AluSc8	3.094650131718588	3.075949113163112	3.053163360628734	3.088787096296822
AluSg	3.5340371626702978	3.5422297735724695	3.5423051230552596	3.563327080038019
AluSg1	0.5644314336774386	0.5643443271734819	0.5596669154059797	0.5780382915681133
AluSg4	3.3530723189973153	3.3478036417610895	3.329832730939504	3.364747041911217
AluSg7	4.403796297098947	4.389515025593564	4.406642203253727	4.413654965315723
AluSp	4.342631987480089	4.36322613532344	4.371886821688839	4.423775405730474
AluSq	3.1013418988841974	3.127923688140552	3.1100455018587057	3.1317236728325306
AluSq10	1.9864402734697901	1.990799133514244	1.9862116427663121	1.9996306933618149
AluSq2	3.7012846120687937	3.6914555839454617	3.664758598065755	3.7079919793630416
AluSq4	1.3245663267003258	1.310363486554668	1.315039852021217	1.3194951323586246
AluSx	1.4609790582313842	1.4467731197137514	1.4560925249180772	1.4559013133588756
AluSx1	1.9098082033060193	1.9002344153139665	1.9048757020268496	1.900052500841635
AluSx3	0.7866916983210797	0.8052554606124787	0.8006627547335025	0.7866432052710283
AluSx4	3.202900237382146	3.1978657836024507	3.2206061769076126	3.267556392641616
AluSz	-0.4160829631121017	-0.4208474980357854	-0.41148131388743703	-0.4208564022742999
AluSz6	3.0846740297168544	3.0749827994651926	3.0795558439050508	3.087927302667321
AluY	0.8003986000601198	0.7955853109355644	0.7955934998204388	0.8047211840651535
AluYa1	1.0015171281906006	0.9919967138307594	0.9966728848426593	0.9965425539234769
AluYa4	0	0	0	0
AluYa5	-0.4279036952115996	-0.4185712742241353	-0.4232246491608834	-0.4279245819313613
AluYa8	0	0	0	0
AluYb10	0	0	0	0
AluYb11	0	0	0	0
AluYb3a1	2.227763784915428	2.245798959692251	2.222886813139527	2.2454283598815348
AluYb3a2	3.116914218034504	3.1162908070219046	3.1072815021142643	3.137871088933103
AluYb8	-0.43804262566591706	-0.4333768056162405	-0.4380534820034433	-0.4288245281017047
AluYb8a1	-0.4160829631121017	-0.4208474980357854	-0.41148131388743703	-0.4208564022742999
AluYb9	1.9003850849577408	1.8861667109478275	1.9138189348225025	1.8952814078066198
AluYbc3a	3.373948704533458	3.3597427680294967	3.3419469047447437	3.3324427818157174
AluYc1	-0.9980332772433714	-1.0027844823027512	-0.9980812800047789	-1.0027904497728968
AluYc2	1.4642168536997129	1.4546566674698993	1.4406745156202634	1.4544862665281728
AluYc5	-1.7268011886807553	-1.7268230072728794	-1.7268210417592658	-1.7242592927017055
AluYd2	1.6978746149676258	1.683664814442455	1.6976004038889618	1.697352180127203
AluYd3	0.5548399554301802	0.5825583548231928	0.5548182867844758	0.5547986745814159
AluYd3a1	4.230456215045712	4.211874213203466	4.229156617437368	4.22375947727349
AluYd8	2.0144189570884956	1.986382038005767	1.9910435318557547	1.9908361380095183
AluYe2	1.3152986713334318	1.301092358202417	1.3150911968862804	1.3194701753731315
AluYe5	3.8128334923373606	3.8029760147533835	3.807438141395995	3.789117451362551
AluYf1	0.9819331502165692	0.9818380493269196	0.9865087563609004	0.9955295798261733
AluYf2	-0.414191131628087	-0.41426668644558373	-0.41425991105677207	-0.4189642108493606
AluYf5	2.7346453874287735	2.7250344546773624	2.7701873655588454	2.738445081309422
AluYg6	0.9924492062538751	0.9922912279943261	0.9876406345003723	0.9967648732122352
AluYh9	3.0908049345891766	3.0810972033080053	3.0901341246209513	3.0716685405410433
AluYi6	1.316595829048478	1.3070730082130306	1.3117472065459903	1.320767163974861
AluYk11	0	0	0	0
AluYk12	0	0	0	0
AluYk13	4.008601407401558	3.9502244044284525	4.011580100234912	3.989182938981148
AmnSINE1_HS	0	0	0	0
CR1_HS	0	0	0	0
CR1_Mam	0	0	0	0
CR1L	0	0	0	0
DeuSINE	0	0	0	0
ERV3-16A3_I	0	0	0	0
ERV3-16A3_LTR	0	0	0	0
ERVL	2.7993496959634236	2.7851222620024356	2.7988592884110672	2.811771763885678
ERVL-B4	2.323375641407023	2.3183601536510325	2.318395060276098	2.313529862039803
ERVL-E	-1.0056369503767775	-1.0009989930137222	-1.0009925965915172	-1.0056780907565945
FAM	0	0	0	0
FLAM	0	0	0	0
FRAM	-1.726808352971705	-1.7242217083932616	-1.7268284279161763	-1.7268467573072492
HAL1	0	0	0	0
HAL1B	0	0	0	0
HARLEQUIN	7.426483635610532	7.510037605322803	7.381823046396468	7.457998417221134
HERV-Fc1	7.174475136539176	7.259744747987642	7.2629213994963795	7.28480440824574
HERV-Fc2	0	0	0	0
HERV-K14CI	3.965131817845859	3.9992576973686007	3.999372918271656	3.998313944034322
HERV-K14I	4.618126007157219	4.616072725776142	4.5356739346250174	4.58181357233334
HERV1_I	5.642489274272457	5.590700250538365	5.551938724414848	5.654345509093458
HERV1_LTRb	2.1663729121166804	2.156787895302897	2.179673242834389	2.152006302297785
HERV16	0	0	0	0
HERV17	6.799244022553057	6.861613324330042	6.7302504173333	6.744589106458102
HERV19I	4.413888305554404	4.408169818679068	4.412556930521806	4.440338845169108
HERV3	1.7791752208980032	1.7883428592018062	1.788364650331369	1.8062772428327
HERV35I	-1.7268011886807553	-1.7268230072728794	-1.7268210417592658	-1.7242592927017055
HERV4_I	4.586693502053856	4.605312904922923	4.542753527185079	4.57120586495136
HERV49I	0.5698211309567676	0.5650524390823923	0.5744047707302287	0.5788690530783933
HERV9	4.97170904443957	4.989138769619867	4.953554275041948	4.919130606579861
HERVE	-1.7268011886807553	-1.7268230072728794	-1.7268210417592658	-1.7242592927017055
HERVE_a	6.540987562976778	6.661896383694017	6.516869734592798	6.60786467492048
HERVH	5.728194808408752	5.732332554369951	5.710340894412044	5.765584877961727
HERVI	1.432025978193684	1.4272400852733944	1.4458407302927538	1.4546558744116933
HERVIP10F	3.03762021629721	3.0370037518371724	3.0325365148697947	3.045433119576951
HERVIP10FH	5.807245705012332	5.821845998374959	5.800494261793403	5.804929227421376
HERVK	7.349223340229986	7.356673368470341	7.20262054201542	7.306955268080331
HERVK11DI	2.2627513694598425	2.24399237125605	2.230165909039548	2.234592619792907
HERVK11I	6.109105254390846	6.124956299337338	6.045962492876609	6.060681811749169
HERVK13I	-1.0112290834773863	-1.0112685347444097	-1.0066005005856	-1.0066591488779637
HERVK22I	4.896756352683576	4.890516098328323	4.849764126040122	4.8688444416516505
HERVK3I	3.3635564377614493	3.362623847581393	3.358293253106572	3.317293085369913
HERVK9I	7.891192158789858	7.842516661585186	7.698048074388209	7.733362146079007
HERVKC4	2.418582331337181	2.3681415391149447	2.3588512187751993	2.367942782034155
HERVL	7.9398205594903395	7.869587273365357	7.853225762931822	7.892571499442494
HERVL66I	2.8454446180104864	2.8540188800382906	2.8450049638444725	2.8580289627128166
HERVL74	-1.726808352971705	-1.7242217083932616	-1.7268284279161763	-1.7268467573072492
HERVS71	2.8543310495999163	2.871583417832774	2.840140714427412	2.835249163239184
HUERS-P1	5.671303216668192	5.598479911497568	5.587354952751145	5.565824966082203
IN25	0	0	0	0
L1	6.164535538472828	6.120061920804271	6.071505920033778	6.089597644388865
L1HS	4.5609837626461776	4.555236537960739	4.6011575100445405	4.587371438215247
L1M1_5	6.083621295420127	6.055069097676463	6.000561407668208	6.161818251362979
L1M1B_5	1.7097388486971996	1.6909028372163362	1.6909187914103048	1.695365206499115
L1M2_5	1.1588679060398401	1.154047955498499	1.1587205930420446	1.1677413342711331
L1M2A_5	-0.9874596474669235	-0.9969814712926349	-0.9969807349219298	-0.9969875008227572
L1M2A1_5	-1.726808352971705	-1.7242217083932616	-1.7268284279161763	-1.7268467573072492
L1M2B_5	0	0	0	0
L1M2C_5	0.30215300243045784	0.31146941389321725	0.30682073611856986	0.31136224024722464
L1M3A_5	0	0	0	0
L1M3B_5	0	0	0	0
L1M3C_5	0	0	0	0
L1M3D_5	0	0	0	0
L1M3DE_5	0	0	0	0
