gene	SRR12223775	SRR12223774	SRR12223773	SRR12223772
ALU	0	0	0	0
AluJb	0	0	0	0
AluJo	0	0	0	0
AluJr	0	0	0	0
AluJr4	0	0	0	0
AluSc	1.2227849701050912	1.1193693686372754	1.192849030995571	1.1183531592010418
AluSc5	0.3764970532817833	0.47143528396807854	0.42844532590074924	0.4069014014468038
AluSc8	1.086709540618355	0.9751775709347529	0.905032366836106	0.94059463386302955
AluSg	0.6134749930859982	0.6769754962591477	0.637564166945119	0.7354840738843593
AluSg1	0	0	0	0
AluSg4	-1.7335616542465233	-1.7368874168990005	-1.7387343314466364	-1.7192579915963293
AluSg7	1.9248433781634795	1.8618306444264057	1.98321842380103	2.0634564131693276
AluSp	1.8504511799553947	1.940550998313103	1.9329583884871244	1.7865912723938113
AluSq	1.7029312907532592	1.748941171729174	1.8059605053770924	1.8050322536957664
AluSq10	0	0	0	0
AluSq2	-0.02063676181257211	0.010973881823480311	0.08291743547022493	-0.02257359148138561
AluSq4	-0.5353835962725606	-0.5025742696311344	-0.5375322340165043	-0.4711252333397174
AluSx	-1.733598084362235	-1.7187014832261365	-1.738898178011864	-1.7372463713636548
AluSx1	-1.0852002662027667	-1.0909499443663169	-1.0656332372384396	-1.0608751086216166
AluSx3	0	0	0	0
AluSx4	1.898384044127678	1.8577996477285212	1.8652765453583386	1.9144009843972594
AluSz	-1.7085166154403837	-1.7389885588016758	-1.7416444842206902	-1.7393262350299559
AluSz6	0.6476241565460572	0.4576644300700605	0.487489513844856	0.45747026577390687
AluY	0	0	0	0
AluYa1	0	0	0	0
AluYa4	0	0	0	0
AluYa5	0	0	0	0
AluYa8	0	0	0	0
AluYb10	0	0	0	0
AluYb11	0	0	0	0
AluYb3a1	0	0	0	0
AluYb3a2	-1.7085166154403837	-1.7389885588016758	-1.7416444842206902	-1.7393262350299559
AluYb8	0	0	0	0
AluYb8a1	0	0	0	0
AluYb9	0	0	0	0
AluYbc3a	-1.7335616542465233	-1.7368874168990005	-1.7387343314466364	-1.7192579915963293
AluYc1	0	0	0	0
AluYc2	0	0	0	0
AluYc5	0	0	0	0
AluYd2	-0.5777497956372747	-0.5797606654834281	-0.5803640151994022	-0.48168119059925196
AluYd3	-0.5777497956372747	-0.5797606654834281	-0.5803640151994022	-0.48168119059925196
AluYd3a1	0	0	0	0
AluYd8	0	0	0	0
AluYe2	0	0	0	0
AluYe5	-1.7333316863608061	-1.736142353468707	-1.7226057954402605	-1.7363408027700535
AluYf1	-1.7333316863608061	-1.736142353468707	-1.7226057954402605	-1.7363408027700535
AluYf2	-1.163702293721842	-1.168995015079454	-1.1207869673331605	-1.1693687117199016
AluYf5	-1.7333316863608061	-1.736142353468707	-1.7226057954402605	-1.7363408027700535
AluYg6	0	0	0	0
AluYh9	-1.7333316863608061	-1.736142353468707	-1.7226057954402605	-1.7363408027700535
AluYi6	0	0	0	0
AluYk11	0	0	0	0
AluYk12	0	0	0	0
AluYk13	-1.7333316863608061	-1.736142353468707	-1.7226057954402605	-1.7363408027700535
AmnSINE1_HS	0	0	0	0
CR1_HS	0	0	0	0
CR1_Mam	0	0	0	0
CR1L	0	0	0	0
DeuSINE	0	0	0	0
ERV3-16A3_I	0	0	0	0
ERV3-16A3_LTR	0	0	0	0
ERVL	0.9085466957964632	0.9711739838665046	1.0108738977471114	1.0000898999409997
ERVL-B4	-1.163702293721842	-1.168995015079454	-1.1207869673331605	-1.1693687117199016
ERVL-E	0	0	0	0
FAM	0	0	0	0
FLAM	0	0	0	0
FRAM	0	0	0	0
HAL1	0	0	0	0
HAL1B	0	0	0	0
HARLEQUIN	6.193420635159006	6.369290189276148	6.395475426326716	6.47140794304903
HERV-Fc1	2.6891436591627067	3.1476004172190457	2.977254386362418	2.895993982959013
HERV-Fc2	-0.2017505192499046	-0.20356396486124587	-0.20437954261233254	-0.0727590414495169
HERV-K14CI	0.5714832112109565	0.6348015479355033	0.6492133441172678	0.6331831570864677
HERV-K14I	3.0376583664157177	3.2558038178004933	3.379609504001089	3.2240545977634776
HERV1_I	-0.6033218567474712	-0.6056920730207879	-0.5779138446185356	-0.5406972945728833
HERV1_LTRb	-0.23401163857667603	-0.16970224810445877	-0.1810949944278072	-0.23570025390775
HERV16	0	0	0	0
HERV17	4.697009090278757	4.532788109787805	4.6803351446810355	4.559234956247353
HERV19I	0.7913046776104101	0.688015910402301	0.6809212269325954	0.6870531365802203
HERV3	1.4857684071157486	1.7580482484846693	1.591269265393314	1.5144933535138774
HERV35I	0	0	0	0
HERV4_I	4.34532767199167	3.9623801061963984	4.023486809232114	4.045781018042561
HERV49I	-1.733598084362235	-1.7187014832261365	-1.738898178011864	-1.7372463713636548
HERV9	3.9943954437209053	3.920970779562533	4.022245132233544	3.956098603961884
HERVE	0.6012881312724218	0.7606227838148347	0.6261840991649518	0.6323327876895826
HERVE_a	3.5552408556715775	3.5873964570035755	3.4865968821450655	3.6663453358364935
HERVH	10.141042548553159	10.804374579696306	10.127154195569137	10.56415595242711
HERVI	0	0	0	0
HERVIP10F	5.151608315968615	4.621528386561039	4.795978573983311	4.929995806516445
HERVIP10FH	6.377323441287785	6.018251376220551	5.938432231082981	6.311779155566214
HERVK	7.8361477105307635	8.014234874335168	7.8473124699450825	8.121242815056771
HERVK11DI	-1.733598084362235	-1.7187014832261365	-1.738898178011864	-1.7372463713636548
HERVK11I	4.776917054594568	4.69581751562248	4.930042842856745	4.803734080061767
HERVK13I	-1.7333316863608061	-1.736142353468707	-1.7226057954402605	-1.7363408027700535
HERVK22I	3.7057151942137523	3.309796273630983	3.544719235335913	3.417207214696204
HERVK3I	-0.44841602256638985	-0.4964891218415159	-0.44084013768959746	-0.49657310904311736
HERVK9I	6.830440415781878	6.7678276289772645	6.821419158652823	6.741975234314797
HERVKC4	0	0	0	0
HERVL	6.482230438812903	6.809627442624898	6.559693582852146	6.631785416537641
HERVL66I	3.3605538181850987	3.5623111816300264	3.577631717113803	3.5541082770439005
HERVL74	0	0	0	0
HERVS71	-1.733598084362235	-1.7187014832261365	-1.738898178011864	-1.7372463713636548
HUERS-P1	2.795142615989839	2.962548083582689	3.003541937668816	2.981667505357207
IN25	0	0	0	0
L1	4.14819446410829	4.589560596995716	4.674799549022577	4.852157131885074
L1HS	4.439900583976109	5.175422391132686	5.4976309835443855	5.187456714247095
L1M1_5	2.4821138521422452	2.498925955842345	2.607849337179476	2.523127408790953
L1M1B_5	0.8162873847725206	0.833393112903178	0.8982789011373372	0.766651448616836
L1M2_5	0	0	0	0
L1M2A_5	0	0	0	0
L1M2A1_5	0	0	0	0
L1M2B_5	0	0	0	0
L1M2C_5	0.21415672499357577	0.18786613910694772	0.11863799154947093	0.11948304346387702
L1M3A_5	0	0	0	0
L1M3B_5	0	0	0	0
L1M3C_5	0	0	0	0
L1M3D_5	0	0	0	0
L1M3DE_5	0	0	0	0
L1M4B	0	0	0	0
L1M6_5end	0	0	0	0
L1M6B_5end	0	0	0	0
L1M7_5end	0	0	0	0
L1MA1	3.9886662194155122	4.242244542410429	4.140460485905754	4.156071794190337
L1MA10	0	0	0	0
L1MA2	3.637185966427938	3.7250826661211827	3.775565379525329	3.7388125606239027
L1MA3	2.905939661327578	2.7981140608598256	2.8569036563418386	2.793573219669721
L1MA4	1.6320031242982667	1.6945641423096909	1.6423583482501392	1.6010171961959272
L1MA4A	-0.02838360664790992	-0.030196890234044836	0.07510794293410272	0.002358096072159425
L1MA5	-1.7335616542465233	-1.7368874168990005	-1.7387343314466364	-1.7192579915963293
L1MA5A	0.095193055048174	0.09317799258071206	0.12048339430063702	0.21760839040943578
L1MA6	0	0	0	0
L1MA7	-1.7333316863608061	-1.736142353468707	-1.7226057954402605	-1.7363408027700535
L1MA8	0	0	0	0
L1MA9	1.1097453222385467	1.1575747775023635	1.2149597987258718	1.0594013982708281
L1MA9_5	0	0	0	0
L1MB1	0	0	0	0
L1MB2	0	0	0	0
L1MB3	0	0	0	0
L1MB3_5	-1.0355299469743093	-1.0804205678570256	-1.0495204783368404	-1.080546786978679
L1MB4	0	0	0	0
L1MB4_5	0	0	0	0
L1MB5	0	0	0	0
L1MB6_5	0	0	0	0
L1MB7	0	0	0	0
L1MB8	0	0	0	0
L1MC1	-0.3176132293583962	-0.31909739550274246	-0.23885531113514094	-0.28652225464224795
L1MC2	0	0	0	0
L1MC3	0	0	0	0
L1MC4	0	0	0	0
L1MC4_5end	0	0	0	0
L1MC4B	0	0	0	0
L1MC5	0	0	0	0
L1MCA_5	0	0	0	0
L1MCB_5	0	0	0	0
L1MCC_5	0	0	0	0
L1MD1	0	0	0	0
L1MD1_5	0	0	0	0
L1MD2	0	0	0	0
L1MD3	0	0	0	0
L1MDA_5	0	0	0	0
L1MDB_5	0	0	0	0
L1ME_ORF2	0	0	0	0
L1ME1	0	0	0	0
L1ME2	0	0	0	0
L1ME3	0	0	0	0
L1ME3A	0	0	0	0
L1ME3C_3end	0	0	0	0
L1ME3D_3end	0	0	0	0
L1ME3E_3end	0	0	0	0
L1ME3F_3end	0	0	0	0
L1ME4	0	0	0	0
L1ME4A	0	0	0	0
L1ME5	0	0	0	0
L1ME5_3end	0	0	0	0
L1MEA_5	0	0	0	0
L1MEB_5	0	0	0	0
L1MEC_5	0	0	0	0
L1MED_5	0	0	0	0
L1MEE_5	0	0	0	0
L1MEe_5end	0	0	0	0
L1MEf_5end	0	0	0	0
L1MEg_5end	0	0	0	0
L1P_MA2	2.9252206368253573	3.117965207384639	3.153356315533419	3.1598327732628917
L1P4a_5end	0	0	0	0
L1P4b_5end	0	0	0	0
L1P4c_5end	0	0	0	0
L1P4d_5end	0	0	0	0
L1P4e_5end	0	0	0	0
L1PA10	3.446682883637056	3.670714103204018	3.6632565251428817	3.704844163742506
L1PA11	3.2632295321323013	3.343513583429239	3.288376523218138	3.3124794991253816
L1PA12	-0.3176132293583962	-0.31909739550274246	-0.23885531113514094	-0.28652225464224795
L1PA12_5	-0.25135647523295357	-0.25292414306378425	-0.1984975895354398	-0.18867111334830858
L1PA13	2.983174973891521	3.2006057475743144	3.230774021429809	3.217532876226734
L1PA13_5	0.06722826656446815	0.08581768349500472	0.01749780057705863	0.05189006567953654
L1PA14	2.3864881541578336	2.2704535589395674	2.4303154942968543	2.4156601610666923
L1PA14_5	0	0	0	0
L1PA15	-0.5282480901140288	-0.46319484104030295	-0.5301542599792808	-0.49653769450224006
L1PA16	2.8985788808646187	3.0585113688571246	3.045015372841802	2.8383932688053175
L1PA16_5	-1.7333316863608061	-1.736142353468707	-1.7226057954402605	-1.7363408027700535
L1PA17_5	0	0	0	0
L1PA2	-0.9885552295989871	-0.9620730940317739	-0.9945618255477123	-0.9628494289224467
L1PA3	0	0	0	0
L1PA4	-1.7335616542465233	-1.7368874168990005	-1.7387343314466364	-1.7192579915963293
L1PA5	0	0	0	0
L1PA6	2.9186061307777575	3.138866745550632	2.9507048556175657	3.10850553141753
L1PA7	4.312001305926057	4.460733768933356	4.813109234565134	4.964781037126601
L1PA7_5	2.644685104037938	2.6891140689708553	2.703085963650823	2.812727432505341
L1PA8	4.715972581801061	5.179381085455971	4.925391599490478	4.960617856741748
L1PB1	4.246930289180786	4.357145533896712	4.484325213478987	4.490972846380162
L1PB2	0.7439329726040073	0.7612728831755988	0.7490734854035253	0.7596204659823319
L1PB2c	8.012318708143768	8.591067942260672	8.781678810999788	8.776086781695053
L1PB3	0.4737251991721055	0.5046680916392629	0.6011293694124464	0.5037625912898447
L1PB4	0	0	0	0
L1PBA_5	3.8845830106897252	4.324871322249722	4.251016729920786	4.3130369110254785
L1PBA1_5	-0.8886800083957199	-0.8980260894363445	-0.9356355087699406	-0.9351719363986836
L1PBB_5	0	0	0	0
L1PREC1	5.8039778550721595	6.2988076509647835	6.1546639584361404	6.440675972274536
L1PREC2	5.005465644409873	5.382628235560264	5.49228974778247	5.354683778037658
L2	0	0	0	0
L2B	0	0	0	0
L2C	0	0	0	0
L2D	0	0	0	0
L3	0	0	0	0
L3b_3end	0	0	0	0
L4	0	0	0	0
L5	0	0	0	0
LmeSINE1b	0	0	0	0
LmeSINE1c	0	0	0	0
LOR1a_LTR	0	0	0	0
LOR1b_LTR	0	0	0	0
LOR1I	1.8607769662713356	1.9224000406209165	1.9432037294811741	1.8289365412678802
LTR06	0	0	0	0
LTR1	-0.7554657934383265	-0.7592587348685879	-0.6792138988193148	-0.7593246493891559
LTR10A	-0.9885552295989871	-0.9620730940317739	-0.9945618255477123	-0.9628494289224467
LTR10B	0	0	0	0
LTR10B1	0	0	0	0
LTR10B2	0	0	0	0
LTR10C	0.6783519104014288	0.6833971239272509	0.6113249021604868	0.5836232117107046
LTR10D	0.14778267592133024	0.2431946114358723	0.1730022814035365	0.17861615877527023
LTR10E	-0.25135647523295357	-0.25292414306378425	-0.1984975895354398	-0.18867111334830858
LTR10F	-1.024728409477902	-1.030583656011265	-1.0309615162498904	-0.9686772884080841
LTR10G	0	0	0	0
LTR12	0.4573085214038659	0.3975490701768377	0.3907420990578906	0.3966252011936713
LTR12B	0	0	0	0
LTR12C	2.665928631974481	2.361785311499304	2.5124925100424544	2.5453117520534394
LTR12D	1.222495726734973	1.300690262162615	1.2259454780517023	1.2678932580136186
LTR12E	1.5275049713159388	1.423666587083721	1.569762909892988	1.422599657128432
LTR12F	-0.29654385458888743	-0.31061566698075255	-0.34582244535500983	-0.3114790926320417
LTR13	4.324427563466786	4.527337031976179	4.560207291117376	4.59996992264735
LTR13A	3.009224707896896	3.1660056641312155	3.068998522427715	3.110957172932059
LTR14	0	0	0	0
LTR14A	2.2198155998499516	2.4301167197896647	2.416890348114361	2.477927406269671
LTR14B	0.714080419287841	0.8382928843732628	0.8169501663479323	0.7108061787781204
LTR14C	0	0	0	0
LTR15	0	0	0	0
LTR16	0	0	0	0
LTR16A	0	0	0	0
LTR16A1	0	0	0	0
LTR16A2	0	0	0	0
LTR16B	0	0	0	0
LTR16B1	0	0	0	0
LTR16B2	0	0	0	0
LTR16C	0	0	0	0
LTR16D	0	0	0	0
LTR16D1	0	0	0	0
LTR16D2	0	0	0	0
LTR16E	0	0	0	0
LTR16E1	0	0	0	0
LTR16E2	0	0	0	0
LTR17	2.2355572940039985	2.2241517598305314	2.274058658742529	2.2780292581324524
LTR18A	0	0	0	0
LTR18B	0	0	0	0
LTR18C	0	0	0	0
LTR19A	-1.7333316863608061	-1.736142353468707	-1.7226057954402605	-1.7363408027700535
LTR19B	0	0	0	0
LTR19C	0	0	0	0
LTR1A2	0	0	0	0
LTR1B	0	0	0	0
LTR1B0	0	0	0	0
LTR1B1	0	0	0	0
LTR1C	0	0	0	0
LTR1C1	0	0	0	0
LTR1C2	0	0	0	0
LTR1C3	0	0	0	0
LTR1D	0	0	0	0
LTR1D1	0	0	0	0
LTR1E	0	0	0	0
LTR1F	0	0	0	0
LTR1F1	0	0	0	0
LTR1F2	0	0	0	0
LTR2	0	0	0	0
LTR21A	3.1459644259553627	3.4144619110078196	3.2455104937992187	3.405965764817567
LTR21B	0	0	0	0
LTR21C	-1.7333316863608061	-1.736142353468707	-1.7226057954402605	-1.7363408027700535
LTR22	-1.7335616542465233	-1.7368874168990005	-1.7387343314466364	-1.7192579915963293
LTR22A	2.6059326817505317	2.6801240124451717	2.8654825950847744	2.938335037437448
LTR22B	-1.733598084362235	-1.7187014832261365	-1.738898178011864	-1.7372463713636548
LTR22B1	0	0	0	0
LTR22B2	0	0	0	0
LTR22C	0	0	0	0
LTR22C0	0	0	0	0
LTR22C2	0	0	0	0
LTR22E	0	0	0	0
LTR23	0	0	0	0
LTR24	0	0	0	0
LTR24B	0	0	0	0
LTR24C	0	0	0	0
LTR25	0	0	0	0
LTR25-int	0	0	0	0
LTR26	0	0	0	0
LTR26B	0	0	0	0
LTR26E	0	0	0	0
LTR27	0	0	0	0
LTR2752	0	0	0	0
LTR27B	0	0	0	0
LTR27C	0	0	0	0
LTR27D	0	0	0	0
LTR27E	0	0	0	0
LTR28	0	0	0	0
LTR28B	0	0	0	0
LTR28C	1.0657638755016705	1.0118837420265006	1.2745229846335169	1.0116099991215834
LTR29	0	0	0	0
LTR2B	0.21463579808337424	0.16609822580773914	0.24764925319969872	0.19923840357557726
LTR2C	0.095193055048174	0.09317799258071206	0.12048339430063702	0.21760839040943578
LTR3	0	0	0	0
LTR30	0.3366029317855441	0.2292246478725488	0.19143855987306493	0.19242986058283706
LTR31	0	0	0	0
LTR32	0	0	0	0
LTR33	0	0	0	0
LTR33A	0	0	0	0
LTR33B	0	0	0	0
LTR33C	0	0	0	0
LTR34	0	0	0	0
LTR35	0	0	0	0
LTR35A	0	0	0	0
LTR35B	0	0	0	0
LTR36	0	0	0	0
LTR37A	0	0	0	0
LTR37B	0	0	0	0
LTR38	0	0	0	0
LTR38A1	0	0	0	0
LTR38B	0	0	0	0
LTR38C	0	0	0	0
LTR39	0	0	0	0
LTR3A	0.7104689137156963	0.7278457012890873	0.7423335778429574	0.6941661060772338
LTR3B	-1.7335616542465233	-1.7368874168990005	-1.7387343314466364	-1.7192579915963293
LTR4	0	0	0	0
LTR40A	0	0	0	0
LTR40A1	0	0	0	0
LTR40B	0	0	0	0
LTR40C	0	0	0	0
LTR41	0	0	0	0
LTR41B	0	0	0	0
LTR41C	0	0	0	0
LTR42	0	0	0	0
LTR43	-1.7335616542465233	-1.7368874168990005	-1.7387343314466364	-1.7192579915963293
LTR43_I	-1.7085166154403837	-1.7389885588016758	-1.7416444842206902	-1.7393262350299559
LTR43B	0	0	0	0
LTR44	0	0	0	0
LTR45	0	0	0	0
LTR45B	0	0	0	0
LTR45C	0	0	0	0
LTR46	0	0	0	0
LTR47A	0	0	0	0
LTR47A2	0	0	0	0
LTR47B	0	0	0	0
LTR47B2	0	0	0	0
LTR48	0	0	0	0
LTR48B	0	0	0	0
LTR49	-1.7085166154403837	-1.7389885588016758	-1.7416444842206902	-1.7393262350299559
LTR5	0	0	0	0
LTR5_Hs	0	0	0	0
LTR50	0	0	0	0
LTR51	0	0	0	0
LTR52	0	0	0	0
LTR53	0	0	0	0
LTR53B	0	0	0	0
LTR54	0	0	0	0
LTR54B	0	0	0	0
LTR55	0	0	0	0
LTR56	0	0	0	0
LTR57	0	0	0	0
LTR58	0	0	0	0
LTR59	0	0	0	0
LTR5A	-1.7333316863608061	-1.736142353468707	-1.7226057954402605	-1.7363408027700535
LTR5B	0.11189980787938315	0.17592619780596658	0.16432055393748368	0.1426820436580267
LTR60	0	0	0	0
LTR60B	0	0	0	0
LTR61	-0.03498507964441097	-0.049223845657796805	-0.02804580915041577	-0.08351810988291805
