gene	SRR14575429	SRR14575428	SRR14575427	SRR14575426	SRR14575425	SRR14575424
ALU	7.039850944842822	6.98922722063518	7.070974718540387	7.122412404496946	7.349409042523438	6.850198869359269
AluJb	7.27306387366209	7.2171854172300325	7.341966281683216	6.986456978463581	7.204069698713987	7.148096944016922
AluJo	6.850198869359269	6.850198869359269	6.850198869359269	6.850198869359269	6.984236802882152	6.850198869359269
AluJr	6.984351381536371	6.850198869359269	7.030520140675573	6.850198869359269	6.850198869359269	6.850198869359269
AluJr4	6.850198869359269	6.98922722063518	6.850198869359269	6.850198869359269	6.850198869359269	6.983612199831123
AluSc	7.4001866728671155	7.436236968687042	7.357932166382249	7.320303687446215	7.312703798762521	7.442877527274938
AluSc5	7.25150635322141	7.385780916991968	7.252368566998953	7.257768462568318	7.293170188131081	7.148096944016922
AluSc8	7.149742753544907	6.98922722063518	7.290471097130253	7.122412404496946	6.984236802882152	7.36436514761791
AluSg	7.331827259691379	7.127934100780834	7.2101419263366155	7.234600161719126	7.204069698713987	7.17641451419696
AluSg1	6.850198869359269	6.850198869359269	6.850198869359269	6.986456978463581	7.039689080609484	6.850198869359269
AluSg4	7.31309608487033	7.190092548198117	7.252368566998953	7.257768462568318	7.149487645910661	7.291120479261762
AluSg7	7.474767892870644	7.497118463808619	7.457600144264512	7.440234172092712	7.552753534499179	7.310565191841575
AluSp	7.331827259691379	7.309539537040775	7.325443031493446	7.257768462568318	7.204069698713987	7.270748634423188
AluSq	7.623429484276827	7.56554047508904	7.6755568760800195	7.5386879904616855	7.488045692631801	7.722146213239427
AluSq10	6.850198869359269	6.850198869359269	7.070974718540387	6.850198869359269	6.850198869359269	6.983612199831123
AluSq2	7.415933137923878	7.4199397527169895	7.162119920948634	7.392240138266143	7.331419384780981	7.270748634423188
AluSq4	7.25150635322141	7.242374009303097	7.135034613739019	7.1544304999500055	6.984236802882152	7.038806704284679
AluSx	7.039850944842822	7.046738720071724	7.341966281683216	6.986456978463581	7.204069698713987	6.850198869359269
AluSx1	7.204370902769767	7.385780916991968	7.290471097130253	7.234600161719126	7.204069698713987	7.116741366756975
AluSx3	7.204370902769767	7.046738720071724	7.105046210524396	7.183345089945956	7.1179865730885385	7.148096944016922
AluSx4	7.3498318700985665	7.2883296673046205	7.308302041776802	7.122412404496946	7.251165544790281	7.17641451419696
AluSz	6.850198869359269	6.98922722063518	6.850198869359269	6.850198869359269	7.039689080609484	7.0811133171377465
AluSz6	7.039850944842822	7.2171854172300325	7.030520140675573	7.122412404496946	6.850198869359269	6.850198869359269
AluY	6.984351381536371	6.850198869359269	6.97774673354791	6.850198869359269	6.984236802882152	6.983612199831123
AluYa4	6.850198869359269	6.850198869359269	6.850198869359269	6.850198869359269	6.850198869359269	6.850198869359269
AluYb10	6.984351381536371	6.850198869359269	6.850198869359269	6.850198869359269	6.984236802882152	6.850198869359269
AluYb3a1	6.984351381536371	6.850198869359269	6.850198869359269	6.850198869359269	6.850198869359269	6.850198869359269
AluYb3a2	6.984351381536371	6.850198869359269	6.850198869359269	6.986456978463581	6.850198869359269	6.983612199831123
AluYb8a1	6.850198869359269	6.850198869359269	6.850198869359269	6.850198869359269	6.850198869359269	6.983612199831123
AluYbc3a	6.850198869359269	6.850198869359269	6.850198869359269	6.986456978463581	6.850198869359269	6.850198869359269
AluYc2	6.850198869359269	6.850198869359269	6.850198869359269	6.850198869359269	6.984236802882152	6.850198869359269
AluYd2	6.850198869359269	6.850198869359269	6.97774673354791	6.850198869359269	6.850198869359269	6.850198869359269
AluYd3	7.27306387366209	7.2171854172300325	7.2101419263366155	7.122412404496946	7.1179865730885385	6.983612199831123
AluYd3a1	6.850198869359269	6.850198869359269	7.070974718540387	6.850198869359269	6.984236802882152	6.850198869359269
