gene	SRR20648572	SRR20648573	SRR20648574	SRR20648575	SRR20648576	SRR20648577	SRR20648578	SRR20648579
ALU	1.9219144989347916	1.9219144989347916	1.9219144989347916	1.9219144989347916	1.9219144989347916	1.9219144989347916	2.6227782436991225	1.9219144989347916
AluJb	2.8866862607683226	3.436718378096449	2.8874266771220665	2.6112269923567433	3.2972847990202836	3.3026217371796864	1.9219144989347916	2.9825080922123615
AluSc	4.509437072826887	4.0695172267309285	3.9501706616271615	3.8604230832231896	3.2972847990202836	3.811839559062721	3.9808625062685934	3.3914637096138516
AluSc5	3.4091957371070576	3.436718378096449	4.034783394315001	3.9510643960425234	3.9357645704664335	3.498181199534863	2.9038003422545713	2.680113950725503
AluSc8	3.8582143983877666	3.6857962064330825	3.6558575747463546	3.410984076010733	3.058304564007137	3.3026217371796864	3.2860753439494483	3.549227241847885
AluSg	3.2630581307408306	3.1155831807986503	2.610881488007148	3.2646949345634355	2.7355721155082593	2.7388786571413646	3.2860753439494483	3.3914637096138516
AluSg1	1.9219144989347916	1.9219144989347916	1.9219144989347916	2.6112269923567433	1.9219144989347916	1.9219144989347916	1.9219144989347916	1.9219144989347916
AluSg4	3.4091957371070576	3.6857962064330825	1.9219144989347916	3.2646949345634355	3.2972847990202836	3.0628130186283755	3.113645914726882	3.207373671340205
AluSg7	4.565553856986093	4.7142135388365345	4.114208467880133	4.674133428060347	4.356922340016198	4.755616286924762	4.547230988540819	4.37921213100987
AluSp	4.187588326582305	4.491702072753389	4.034783394315001	4.260954109153075	3.9357645704664335	3.811839559062721	3.9808625062685934	3.549227241847885
AluSq	4.033350322739282	3.8921684169776043	3.8595591836576544	3.6566503194292928	3.80494216551769	3.0628130186283755	3.7904428332938234	3.812806579956583
AluSq10	3.2630581307408306	3.2882573111128117	3.4102845566262454	2.88790240015834	1.9219144989347916	3.665197413784903	3.113645914726882	2.9825080922123615
AluSq2	2.61034376157401	3.2882573111128117	3.4102845566262454	3.410984076010733	2.7355721155082593	3.498181199534863	3.2860753439494483	2.9825080922123615
AluSq4	3.5383694466493383	3.436718378096449	1.9219144989347916	2.88790240015834	3.058304564007137	3.0628130186283755	1.9219144989347916	2.9825080922123615
AluSx	2.61034376157401	2.6239585961779044	1.9219144989347916	2.6112269923567433	2.7355721155082593	1.9219144989347916	2.6227782436991225	1.9219144989347916
AluSx1	1.9219144989347916	1.9219144989347916	3.264054679724886	1.9219144989347916	1.9219144989347916	1.9219144989347916	1.9219144989347916	1.9219144989347916
AluSx3	2.61034376157401	3.1155831807986503	1.9219144989347916	1.9219144989347916	2.7355721155082593	1.9219144989347916	2.6227782436991225	2.680113950725503
AluSx4	4.187588326582305	3.793266502346861	4.567216344714128	4.1151533826700755	3.492211908856936	3.498181199534863	4.066391366910298	2.9825080922123615
AluSz	2.8866862607683226	1.9219144989347916	2.610881488007148	2.6112269923567433	1.9219144989347916	1.9219144989347916	1.9219144989347916	1.9219144989347916
AluSz6	3.654623596115137	2.905424097567999	3.094102428390186	3.410984076010733	1.9219144989347916	3.0628130186283755	3.113645914726882	3.3914637096138516
AluY	2.8866862607683226	2.6239585961779044	2.610881488007148	1.9219144989347916	1.9219144989347916	1.9219144989347916	2.6227782436991225	1.9219144989347916
AluYa1	2.8866862607683226	1.9219144989347916	1.9219144989347916	2.6112269923567433	1.9219144989347916	1.9219144989347916	2.6227782436991225	1.9219144989347916
AluYa4	2.61034376157401	1.9219144989347916	1.9219144989347916	1.9219144989347916	1.9219144989347916	1.9219144989347916	1.9219144989347916	1.9219144989347916
