gene	SRR14872400	SRR14872399	SRR14872398	SRR14872397
ALU	7.048223927531615	6.811263492406528	7.046316072490354	7.001988007170271
AluJb	7.084779691577318	7.193898824930481	7.143312436298361	7.04476754513851
AluJo	6.811263492406528	6.94689241544532	6.811263492406528	6.811263492406528
AluJr	6.811263492406528	7.003001253533608	6.811263492406528	6.811263492406528
AluJr4	6.811263492406528	6.94689241544532	6.811263492406528	6.811263492406528
AluSc	7.283604795970123	7.142876997907405	7.351532263919032	7.4250912269765745
AluSc5	7.242768334876369	7.398609361937925	7.260041312616735	7.410509560439819
AluSc8	7.283604795970123	7.1693164159071525	7.046316072490354	7.236506032658745
AluSg	7.197498895302704	7.238752131604209	7.260041312616735	7.331147033435003
AluSg1	6.948175115831196	6.94689241544532	6.811263492406528	7.080792999301126
AluSg4	7.263662559324455	7.238752131604209	7.143312436298361	7.295594074374501
AluSg7	7.419271146022869	7.383148582712935	7.429109877373518	7.453204048269526
AluSp	7.302711046173764	7.367235119357933	7.414435495896406	7.566078540845664
AluSq	7.116949929900398	7.238752131604209	7.169786230125939	7.257101723123058
AluSq10	7.048223927531615	7.082222818422405	7.046316072490354	7.14112963984417
AluSq2	7.338775442267343	7.298146793819525	7.143312436298361	7.364328377570023
AluSq4	7.084779691577318	6.94689241544532	7.003253759893752	7.04476754513851
AluSx	7.084779691577318	6.811263492406528	7.046316072490354	7.04476754513851
AluSx1	7.084779691577318	7.046007156903485	7.046316072490354	7.04476754513851
AluSx3	6.811263492406528	7.082222818422405	7.046316072490354	6.811263492406528
AluSx4	7.084779691577318	7.082222818422405	7.217493604702289	7.395542883191582
AluSz	6.811263492406528	6.811263492406528	6.947071161517852	6.811263492406528
AluSz6	7.220776314398394	7.142876997907405	7.169786230125939	7.236506032658745
AluY	6.948175115831196	6.811263492406528	6.947071161517852	7.001988007170271
AluYa1	7.004813249138361	6.94689241544532	7.003253759893752	7.001988007170271
AluYa5	6.811263492406528	7.003001253533608	6.947071161517852	6.811263492406528
AluYb3a1	7.048223927531615	7.1693164159071525	7.003253759893752	7.14112963984417
AluYb3a2	7.197498895302704	7.193898824930481	7.143312436298361	7.276759640352251
AluYb8	6.811263492406528	6.94689241544532	6.811263492406528	7.001988007170271
AluYb8a1	6.948175115831196	6.811263492406528	7.003253759893752	6.811263492406528
AluYb9	7.084779691577318	6.94689241544532	7.169786230125939	7.04476754513851
AluYbc3a	7.321075402315344	7.279214840261484	7.194400530829282	7.14112963984417
AluYc1	6.948175115831196	6.811263492406528	6.811263492406528	6.811263492406528
AluYc2	7.116949929900398	7.046007156903485	6.811263492406528	7.04476754513851
AluYc5	6.811263492406528	6.811263492406528	6.811263492406528	6.946175156305643
