gene	SRR14575435	SRR14575434	SRR14575433	SRR14575432	SRR14575431	SRR14575430
ALU	6.281852263931051	6.37606864207287	6.535763763074086	6.1429983729282025	6.14214375448055	6.142774067292839
AluJb	6.570794261205914	6.573473222049916	6.563357859801497	6.438292891245587	6.40120405926217	6.364629511544816
AluJo	6.223417311410617	5.962447038136928	6.1448195639023675	5.962447038136928	5.962447038136928	6.217302506302729
AluJr	6.281852263931051	5.962447038136928	6.1448195639023675	6.21761910552599	5.962447038136928	6.142774067292839
AluJr4	6.223417311410617	6.2832738963234185	6.1448195639023675	5.962447038136928	5.962447038136928	6.142774067292839
AluSc	6.9388081892555835	6.959142768065835	6.894423609605933	6.583496991547863	6.674450795990127	6.900649497404576
AluSc5	6.622917992134754	6.451188145167636	6.614864940074729	6.501316625596754	6.3632309064931025	6.364629511544816
AluSc8	6.542867881511116	6.224580438433017	6.443055279726229	6.322847553451541	6.40120405926217	6.470196403184759
AluSg	6.570794261205914	6.332653252768431	6.407695023073719	6.403277388077601	6.580597836309872	6.500653968082147
AluSg1	5.962447038136928	5.962447038136928	5.962447038136928	5.962447038136928	6.14214375448055	5.962447038136928
AluSg4	6.597425256378311	6.451188145167636	6.475903773689598	6.274765026156022	6.216412834603781	6.437706259111839
AluSg7	6.797533591870431	6.820345588421397	6.806337224641724	6.77941752967497	6.6522692993121995	6.9166805473381805
AluSp	6.853478160818515	6.7612648252515175	6.684852125739647	6.438292891245587	6.3632309064931025	6.500653968082147
AluSq	6.888682410374324	6.625818919191044	6.768076475388958	6.901778451823852	6.436057697333871	6.719298996893742
AluSq10	6.449034027038867	6.37606864207287	6.1448195639023675	5.962447038136928	6.321148195788827	6.364629511544816
AluSq2	6.670976336269993	6.625818919191044	6.589673204707423	6.608448651213404	6.216412834603781	6.6315941850920845
AluSq4	6.449034027038867	6.224580438433017	6.1448195639023675	5.962447038136928	6.216412834603781	6.402733234296579
AluSx	6.223417311410617	6.147930644841221	6.2201895935021545	6.1429983729282025	6.216412834603781	6.274378023972753
AluSx1	6.331015023011886	6.37606864207287	6.369167760194344	6.470822347614207	6.40120405926217	6.322401544087718
AluSx3	6.331015023011886	6.37606864207287	5.962447038136928	6.438292891245587	6.5546524582527175	6.470196403184759
AluSx4	6.513448692185648	6.484581024699368	6.614864940074729	6.438292891245587	6.527447764794886	6.500653968082147
AluSz	6.374240745936175	6.147930644841221	5.962447038136928	6.1429983729282025	5.962447038136928	5.962447038136928
AluSz6	6.223417311410617	6.147930644841221	6.1448195639023675	6.1429983729282025	6.216412834603781	5.962447038136928
AluY	6.413241201487569	6.147930644841221	5.962447038136928	5.962447038136928	6.321148195788827	5.962447038136928
AluYb10	5.962447038136928	5.962447038136928	6.2201895935021545	5.962447038136928	5.962447038136928	5.962447038136928
AluYb11	5.962447038136928	5.962447038136928	5.962447038136928	6.1429983729282025	5.962447038136928	5.962447038136928
AluYb8	5.962447038136928	5.962447038136928	5.962447038136928	6.1429983729282025	5.962447038136928	5.962447038136928
AluYb8a1	5.962447038136928	5.962447038136928	6.277907051245703	6.21761910552599	5.962447038136928	6.142774067292839
AluYb9	6.147106504376994	6.147930644841221	5.962447038136928	6.1429983729282025	5.962447038136928	5.962447038136928
AluYbc3a	6.281852263931051	6.147930644841221	6.2201895935021545	6.1429983729282025	6.3632309064931025	6.217302506302729
AluYc1	5.962447038136928	5.962447038136928	6.1448195639023675	5.962447038136928	5.962447038136928	5.962447038136928
AluYc2	6.147106504376994	5.962447038136928	5.962447038136928	5.962447038136928	5.962447038136928	5.962447038136928
AluYd3	5.962447038136928	6.2832738963234185	6.1448195639023675	5.962447038136928	6.436057697333871	5.962447038136928
AluYd8	5.962447038136928	5.962447038136928	5.962447038136928	6.1429983729282025	5.962447038136928	5.962447038136928
AluYe2	6.147106504376994	5.962447038136928	5.962447038136928	5.962447038136928	5.962447038136928	5.962447038136928
AluYe5	6.147106504376994	6.147930644841221	6.2201895935021545	5.962447038136928	6.40120405926217	6.322401544087718
AluYf1	6.223417311410617	5.962447038136928	6.277907051245703	5.962447038136928	5.962447038136928	5.962447038136928
AluYf2	6.223417311410617	5.962447038136928	5.962447038136928	5.962447038136928	5.962447038136928	5.962447038136928
AluYf5	6.223417311410617	6.37606864207287	6.277907051245703	6.1429983729282025	6.273290503866096	5.962447038136928
AluYg6	5.962447038136928	5.962447038136928	5.962447038136928	5.962447038136928	6.216412834603781	5.962447038136928
AluYh9	6.482282772325683	6.2832738963234185	5.962447038136928	6.36512720668976	6.3632309064931025	6.402733234296579
AluYk11	5.962447038136928	5.962447038136928	5.962447038136928	5.962447038136928	5.962447038136928	6.142774067292839
AluYk13	6.374240745936175	5.962447038136928	5.962447038136928	5.962447038136928	6.273290503866096	5.962447038136928
ERVL	6.449034027038867	6.224580438433017	6.2201895935021545	6.274765026156022	5.962447038136928	6.274378023972753
ERVL-B4	6.147106504376994	6.147930644841221	6.2201895935021545	6.1429983729282025	6.216412834603781	6.142774067292839
HARLEQUIN	8.192207935949307	8.24229526892284	8.525871137953171	7.690810583774675	7.770131369747906	8.039358686729589
HERV-Fc1	5.962447038136928	5.962447038136928	6.2201895935021545	5.962447038136928	5.962447038136928	5.962447038136928
HERV-K14CI	6.281852263931051	6.451188145167636	6.3264685723037	5.962447038136928	6.321148195788827	6.274378023972753
HERV-K14I	6.905728768132009	6.990531709758536	6.877568272609113	6.36512720668976	6.716708908232884	6.739557185971061
HERV1_I	6.777933187473042	6.781483088691642	6.662359066842667	6.470822347614207	6.468437350050959	6.8153531703764125
HERV1_LTRb	6.281852263931051	6.147930644841221	5.962447038136928	6.1429983729282025	6.14214375448055	5.962447038136928
HERV17	8.539346652148868	8.544432941596101	8.619103873981881	7.971640239977862	8.13635244078479	8.678828927587602
HERV19I	6.449034027038867	6.415239532252461	6.2201895935021545	6.1429983729282025	6.321148195788827	6.500653968082147
HERV3	7.016333243714119	6.926569178404018	7.060704045861767	6.36512720668976	6.580597836309872	6.850578660076262
HERV4_I	6.570794261205914	6.573473222049916	6.563357859801497	6.403277388077601	6.40120405926217	6.437706259111839
HERV9	7.702835517679464	7.542451951603973	7.728906611478895	7.153675895387942	7.565492949955477	7.619347349769272
HERVE	6.223417311410617	6.484581024699368	5.962447038136928	5.962447038136928	5.962447038136928	5.962447038136928
HERVE_a	7.442685638695431	7.487178185402415	7.425762695511239	7.521499392483479	7.45254859651703	7.188342999986274
HERVH	8.715292423815614	8.822078445111357	8.850214954657245	7.965636097790534	8.671390543745439	9.06057268558403
HERVI	6.223417311410617	5.962447038136928	6.1448195639023675	5.962447038136928	6.14214375448055	5.962447038136928
HERVIP10F	11.040564718784813	10.722113151167862	10.998225077034967	9.605152474734574	10.843983409586112	11.662706334928123
HERVIP10FH	7.8967112434197375	7.785432007107236	7.952460452671682	7.322584037364924	7.557189342146286	7.90816982109885
HERVK	12.660825569441634	12.563102523334013	12.714734672833965	11.732365659070906	12.387636067187943	12.708423595365048
HERVK11DI	6.331015023011886	6.451188145167636	6.563357859801497	6.403277388077601	6.321148195788827	6.322401544087718
HERVK11I	7.821360173612747	7.6122586458763655	7.983110604486215	7.26930923187667	7.622019408565669	7.681355852574834
HERVK22I	7.274637514480709	6.990531709758536	7.335374635849848	6.851651113662595	6.974513168467018	6.850578660076262
HERVK3I	6.647399965604409	6.515881510411638	6.369167760194344	6.470822347614207	6.321148195788827	6.739557185971061
HERVK9I	9.95173385636908	9.868675861032427	9.977074421028144	8.966580072210443	9.358408775673574	9.534922907211694
HERVL	8.988197966935191	8.897150135132938	8.818076160172817	8.540852088159928	8.674895804629251	8.963785315616041
HERVL66I	6.449034027038867	6.600217842193632	6.842760693984263	6.36512720668976	6.580597836309872	6.607658193333562
HERVS71	6.413241201487569	6.332653252768431	6.475903773689598	6.36512720668976	6.216412834603781	6.217302506302729
HUERS-P1	6.757798206093094	6.7612648252515175	6.706611641022224	6.655492680491484	6.5546524582527175	6.582736125325122
L1	7.929520406661968	7.800015863963323	7.750985488420006	6.885411312121013	7.337075321867283	7.3913099440675465
L1HS	6.513448692185648	6.415239532252461	6.535763763074086	6.403277388077601	6.321148195788827	6.217302506302729
L1M1_5	7.154017018105157	6.909799509263006	6.748173021296703	6.6324129580017415	6.8475643899683085	6.977928131522397
L1M1B_5	6.597425256378311	6.451188145167636	6.277907051245703	6.274765026156022	6.321148195788827	6.274378023972753
L1M2C_5	6.281852263931051	6.484581024699368	6.443055279726229	6.21761910552599	6.14214375448055	6.402733234296579
