gene	SRR13943161	SRR13943160	SRR13943159	SRR13943158	SRR13943157	SRR13943156
AluSc	3.868775657209485	3.868775657209485	4.24767172993372	4.411754031264187	4.569949114019689	4.500059007617003
AluSc5	4.4219124760750494	3.868775657209485	3.868775657209485	4.632262636350705	4.569949114019689	4.500059007617003
AluSc8	4.261092595337727	3.868775657209485	3.868775657209485	4.253845379092272	4.569949114019689	4.3855708145448675
AluSg	3.868775657209485	4.396763699579236	3.868775657209485	4.411754031264187	4.477478809036822	4.2351764477080565
AluSg4	4.261092595337727	4.611411209481542	3.868775657209485	3.868775657209485	4.221940654450629	4.500059007617003
AluSg7	4.646382292079893	4.513658813383647	4.784117037488685	4.253845379092272	4.569949114019689	4.500059007617003
AluSp	4.4219124760750494	4.396763699579236	4.62022419578804	4.253845379092272	4.7234579587380905	4.754699208151741
AluSq	4.544198895635249	4.396763699579236	4.706625911209278	3.868775657209485	4.221940654450629	4.3855708145448675
AluSq2	4.646382292079893	3.868775657209485	4.403097828473785	4.531865539934313	4.221940654450629	4.2351764477080565
AluSx	4.261092595337727	3.868775657209485	3.868775657209485	3.868775657209485	3.868775657209485	3.868775657209485
AluSx1	3.868775657209485	3.868775657209485	3.868775657209485	3.868775657209485	4.221940654450629	3.868775657209485
AluSx3	3.868775657209485	3.868775657209485	3.868775657209485	3.868775657209485	3.868775657209485	3.868775657209485
AluSx4	4.261092595337727	4.773492416775608	3.868775657209485	4.79862409635688	4.3669949690551615	4.754699208151741
AluSz	4.261092595337727	3.868775657209485	4.24767172993372	3.868775657209485	3.868775657209485	3.868775657209485
AluSz6	3.868775657209485	4.396763699579236	3.868775657209485	4.253845379092272	4.3669949690551615	3.868775657209485
AluYa4	3.868775657209485	3.868775657209485	3.868775657209485	3.868775657209485	4.3669949690551615	3.868775657209485
AluYb3a2	3.868775657209485	3.868775657209485	3.868775657209485	3.868775657209485	4.221940654450629	3.868775657209485
AluYb9	4.261092595337727	3.868775657209485	4.24767172993372	3.868775657209485	4.221940654450629	3.868775657209485
AluYbc3a	3.868775657209485	3.868775657209485	3.868775657209485	3.868775657209485	4.477478809036822	4.2351764477080565
AluYd3a1	4.4219124760750494	4.243155253336441	4.24767172993372	4.253845379092272	4.3669949690551615	3.868775657209485
AluYe5	4.261092595337727	3.868775657209485	3.868775657209485	3.868775657209485	3.868775657209485	3.868775657209485
AluYf2	3.868775657209485	3.868775657209485	4.403097828473785	4.253845379092272	4.3669949690551615	4.2351764477080565
AluYf5	4.261092595337727	3.868775657209485	4.403097828473785	3.868775657209485	3.868775657209485	3.868775657209485
AluYh9	3.868775657209485	3.868775657209485	3.868775657209485	4.253845379092272	3.868775657209485	3.868775657209485
AluYk13	3.868775657209485	3.868775657209485	3.868775657209485	3.868775657209485	4.650839028025969	3.868775657209485
ERVL	4.261092595337727	3.868775657209485	4.24767172993372	3.868775657209485	3.868775657209485	3.868775657209485
ERVL-B4	3.868775657209485	3.868775657209485	4.403097828473785	4.253845379092272	4.221940654450629	4.2351764477080565
HARLEQUIN	6.610080399773103	6.573475855949923	6.614434853551082	6.468879291254231	6.151495507750063	6.183940126339987
HERV-Fc1	5.3737154909162985	5.601894294595761	4.85481923793101	5.6128350907337214	5.78842770794692	5.5363109345068775
HERV-Fc2	3.868775657209485	4.396763699579236	3.868775657209485	3.868775657209485	3.868775657209485	3.868775657209485
HERV-K14CI	4.4219124760750494	4.243155253336441	3.868775657209485	4.253845379092272	3.868775657209485	4.2351764477080565
HERV-K14I	5.802975802060856	5.267396727124508	5.238522930871333	4.632262636350705	4.477478809036822	4.823283737710024
