gene	SRR12038086	SRR12038085	SRR12038084	SRR12038083	SRR12038082	SRR12038081
ALU	3.2241467368482084	3.2241467368482084	3.844517402514175	3.912307852293307	3.2241467368482084	3.2241467368482084
AluJb	3.2241467368482084	3.849730899615464	3.844517402514175	3.912307852293307	3.7407126788511715	3.6713602061493966
AluJo	3.2241467368482084	4.20221164716942	3.2241467368482084	3.2241467368482084	3.2241467368482084	3.2241467368482084
AluJr	3.8959991907440372	3.2241467368482084	3.2241467368482084	4.06310999297649	3.2241467368482084	3.2241467368482084
AluJr4	3.701344318980596	4.20221164716942	4.633560262468487	3.2241467368482084	3.2241467368482084	3.8541203672134734
AluSc	3.2241467368482084	3.2241467368482084	3.2241467368482084	3.2241467368482084	3.7407126788511715	3.2241467368482084
AluSc5	3.701344318980596	3.987411750906023	3.664491275322308	3.2241467368482084	3.7407126788511715	3.2241467368482084
AluSc8	3.701344318980596	3.2241467368482084	3.981097507064892	3.2241467368482084	3.7407126788511715	3.6713602061493966
AluSg1	3.2241467368482084	3.2241467368482084	3.664491275322308	3.2241467368482084	3.2241467368482084	3.2241467368482084
AluSg7	3.701344318980596	4.102189544780173	3.664491275322308	3.7130338397680114	3.2241467368482084	3.8541203672134734
AluSp	3.701344318980596	3.987411750906023	3.981097507064892	3.2241467368482084	3.2241467368482084	3.2241467368482084
AluSq	3.2241467368482084	3.987411750906023	3.664491275322308	3.7130338397680114	3.2241467368482084	3.2241467368482084
AluSq10	3.2241467368482084	3.6682201563021417	3.664491275322308	3.7130338397680114	3.2241467368482084	3.6713602061493966
AluSq2	3.2241467368482084	3.2241467368482084	3.2241467368482084	3.2241467368482084	3.2241467368482084	3.8541203672134734
AluSq4	3.2241467368482084	3.2241467368482084	3.981097507064892	3.912307852293307	3.2241467368482084	3.2241467368482084
AluSx	3.2241467368482084	3.849730899615464	3.2241467368482084	3.2241467368482084	3.7407126788511715	3.2241467368482084
