gene	SRR14867940	SRR14867939	SRR14867938	SRR14867937	SRR14867936	SRR14867935
AluJb	7.46285034212918	7.46285034212918	7.46285034212918	7.46285034212918	7.642028373659227	7.567975685157366
AluSc	7.46285034212918	7.46285034212918	7.46285034212918	7.572345620816187	7.46285034212918	7.61148717405923
AluSc5	7.576341968600358	7.668528700833278	7.627957085403028	7.572345620816187	7.46285034212918	7.567975685157366
AluSc8	7.46285034212918	7.46285034212918	7.46285034212918	7.572345620816187	7.46285034212918	7.61148717405923
AluSg	7.46285034212918	7.565754819303787	7.579630277513461	7.652410861343471	7.46285034212918	7.672961806742494
AluSg1	7.62331040853586	7.46285034212918	7.46285034212918	7.46285034212918	7.46285034212918	7.46285034212918
AluSg4	7.62331040853586	7.46285034212918	7.579630277513461	7.572345620816187	7.609179904085143	7.46285034212918
AluSg7	7.659322435914353	7.668528700833278	7.579630277513461	7.572345620816187	7.642028373659227	7.61148717405923
AluSp	7.46285034212918	7.565754819303787	7.46285034212918	7.572345620816187	7.609179904085143	7.644852350004331
AluSq	7.576341968600358	7.565754819303787	7.66500891589832	7.46285034212918	7.642028373659227	7.46285034212918
AluSq10	7.46285034212918	7.46285034212918	7.66500891589832	7.46285034212918	7.46285034212918	7.46285034212918
AluSq2	7.46285034212918	7.565754819303787	7.627957085403028	7.617662930115644	7.642028373659227	7.672961806742494
AluSq4	7.46285034212918	7.46285034212918	7.46285034212918	7.572345620816187	7.46285034212918	7.46285034212918
AluSx	7.46285034212918	7.46285034212918	7.46285034212918	7.46285034212918	7.46285034212918	7.46285034212918
AluSx1	7.46285034212918	7.565754819303787	7.46285034212918	7.46285034212918	7.46285034212918	7.61148717405923
AluSx3	7.46285034212918	7.46285034212918	7.46285034212918	7.46285034212918	7.566343134089958	7.567975685157366
AluSx4	7.659322435914353	7.565754819303787	7.579630277513461	7.46285034212918	7.566343134089958	7.61148717405923
AluSz6	7.46285034212918	7.46285034212918	7.579630277513461	7.46285034212918	7.46285034212918	7.46285034212918
AluY	7.46285034212918	7.46285034212918	7.46285034212918	7.46285034212918	7.46285034212918	7.46285034212918
AluYa1	7.576341968600358	7.46285034212918	7.46285034212918	7.46285034212918	7.46285034212918	7.46285034212918
AluYa5	7.46285034212918	7.46285034212918	7.46285034212918	7.46285034212918	7.46285034212918	7.567975685157366
AluYa8	7.576341968600358	7.46285034212918	7.46285034212918	7.572345620816187	7.46285034212918	7.46285034212918
AluYb10	7.46285034212918	7.46285034212918	7.46285034212918	7.46285034212918	7.46285034212918	7.567975685157366
AluYb3a1	7.46285034212918	7.46285034212918	7.46285034212918	7.46285034212918	7.46285034212918	7.567975685157366
AluYb9	7.46285034212918	7.46285034212918	7.46285034212918	7.572345620816187	7.46285034212918	7.46285034212918
AluYd2	7.46285034212918	7.46285034212918	7.46285034212918	7.46285034212918	7.46285034212918	7.61148717405923
AluYe5	7.46285034212918	7.46285034212918	7.579630277513461	7.46285034212918	7.46285034212918	7.46285034212918
AluYf5	7.46285034212918	7.46285034212918	7.46285034212918	7.617662930115644	7.566343134089958	7.46285034212918
AluYg6	7.46285034212918	7.565754819303787	7.46285034212918	7.46285034212918	7.46285034212918	7.46285034212918
AluYh9	7.46285034212918	7.608348432523825	7.46285034212918	7.46285034212918	7.566343134089958	7.61148717405923
AluYk13	7.46285034212918	7.46285034212918	7.46285034212918	7.46285034212918	7.566343134089958	7.46285034212918
ERVL	7.659322435914353	7.771042875189748	7.723694078503634	7.681683615436403	7.642028373659227	7.840886556299234
ERVL-B4	7.46285034212918	7.608348432523825	7.46285034212918	7.46285034212918	7.46285034212918	7.46285034212918
HARLEQUIN	8.396268353111408	8.340616716038314	8.360623822995437	8.395034025901701	8.467192408548527	8.247016143525423
HERV-K14CI	7.576341968600358	7.608348432523825	7.627957085403028	7.617662930115644	7.642028373659227	7.61148717405923
HERV-K14I	7.820915197161543	7.832940774015267	7.771317452920433	7.652410861343471	7.789495318186158	7.69771033964318
HERV1_I	8.155955303763516	8.13937063510436	8.107845916292076	7.9503233888600615	8.104011719192954	8.015852738530205
HERV1_LTRb	7.46285034212918	7.565754819303787	7.46285034212918	7.46285034212918	7.46285034212918	7.46285034212918
HERV17	8.263247180572522	8.067338938786072	8.147476364664637	8.058485225550523	8.035432016289962	8.097319009019971
HERV19I	7.659322435914353	7.46285034212918	7.46285034212918	7.681683615436403	7.609179904085143	7.61148717405923
HERV3	7.576341968600358	7.565754819303787	7.579630277513461	7.681683615436403	7.609179904085143	7.567975685157366
HERV35I	7.46285034212918	7.565754819303787	7.46285034212918	7.46285034212918	7.46285034212918	7.46285034212918
HERV4_I	7.46285034212918	7.668528700833278	7.748512809525026	7.790709063687007	7.849014113148273	7.777671136089968
HERV49I	7.46285034212918	7.46285034212918	7.579630277513461	7.46285034212918	7.46285034212918	7.567975685157366
HERV9	7.980290513680368	7.95409092587883	7.849116567031346	7.856513530752809	7.923820014321841	7.953670527910492
HERVE_a	7.83829619854578	7.873171152582095	7.866183567424605	7.899270675216367	7.755134804503491	7.777671136089968
HERVH	9.608188918317756	9.523915226280506	9.542990374051023	9.333580769148693	9.270527998786068	9.31660664949138
HERVI	7.46285034212918	7.46285034212918	7.627957085403028	7.46285034212918	7.46285034212918	7.46285034212918
HERVIP10F	7.783276902378852	7.860224824213129	7.792526292623672	7.7720320828878116	7.805365722858974	7.720069944733333
HERVIP10FH	8.04868882903947	7.89787960226138	8.007506084810336	7.925525667282723	7.956873534281419	7.953670527910492
HERVK	9.760686133452582	9.779099557595929	9.77067714052568	9.831975631610478	9.689238117370886	9.463729998488155
HERVK11DI	7.62331040853586	7.6410106824543735	7.579630277513461	7.652410861343471	7.609179904085143	7.644852350004331
HERVK11I	8.04868882903947	8.161626864180537	8.117994019096242	8.058485225550523	8.087614071449535	7.985726863951329
HERVK13I	7.46285034212918	7.46285034212918	7.46285034212918	7.617662930115644	7.46285034212918	7.46285034212918
HERVK22I	8.04868882903947	8.108413996619488	8.202677792847437	7.9125959631053	8.02623859462783	7.975273381918391
HERVK3I	7.576341968600358	7.608348432523825	7.46285034212918	7.46285034212918	7.46285034212918	7.644852350004331
HERVK9I	8.90392852557362	8.950247486515627	8.853290319948938	8.871519679566992	8.921302040865616	8.847030957837035
HERVL	8.521835609047292	8.58935802422328	8.562527086467915	8.55359131442927	8.556183997343972	8.558974814161335
HERVL66I	7.659322435914353	7.734765063805298	7.723694078503634	7.652410861343471	7.642028373659227	7.644852350004331
HERVS71	7.659322435914353	7.46285034212918	7.579630277513461	7.46285034212918	7.566343134089958	7.644852350004331
HUERS-P1	7.783276902378852	7.714647529838474	7.696219467801533	7.681683615436403	7.736315664243088	7.720069944733333
L1	7.802627201436975	7.818496275673254	7.792526292623672	7.8855123609321325	7.935104300636493	7.794627827692641
L1HS	7.783276902378852	7.668528700833278	7.748512809525026	7.7521322884719845	7.669703081071264	7.61148717405923
L1M1_5	7.740489971553599	7.734765063805298	7.627957085403028	7.617662930115644	7.642028373659227	7.644852350004331
L1M1B_5	7.576341968600358	7.46285034212918	7.46285034212918	7.46285034212918	7.46285034212918	7.46285034212918
L1M2_5	7.46285034212918	7.46285034212918	7.579630277513461	7.46285034212918	7.46285034212918	7.46285034212918
L1M2C_5	7.46285034212918	7.46285034212918	7.46285034212918	7.46285034212918	7.46285034212918	7.567975685157366
L1MA1	7.870795304053367	7.832940774015267	7.882539909973507	7.841159348829774	7.772798864957119	7.759731396750817
L1MA2	7.802627201436975	7.75347819318818	7.771317452920433	7.925525667282723	7.849014113148273	7.868749072104401
L1MA3	7.689658485864218	7.832940774015267	7.579630277513461	7.730737263143863	7.46285034212918	7.777671136089968
L1MA4	7.62331040853586	7.46285034212918	7.46285034212918	7.46285034212918	7.642028373659227	7.46285034212918
L1MA4A	7.46285034212918	7.565754819303787	7.46285034212918	7.652410861343471	7.46285034212918	7.46285034212918
L1MA5	7.46285034212918	7.46285034212918	7.579630277513461	7.572345620816187	7.46285034212918	7.567975685157366
L1MA5A	7.46285034212918	7.565754819303787	7.46285034212918	7.46285034212918	7.46285034212918	7.46285034212918
L1MA6	7.46285034212918	7.46285034212918	7.46285034212918	7.46285034212918	7.566343134089958	7.61148717405923
L1MA7	7.46285034212918	7.46285034212918	7.627957085403028	7.46285034212918	7.46285034212918	7.46285034212918
L1MA9	7.576341968600358	7.6410106824543735	7.579630277513461	7.572345620816187	7.566343134089958	7.46285034212918
L1MB3_5	7.576341968600358	7.608348432523825	7.66500891589832	7.652410861343471	7.566343134089958	7.46285034212918
L1MB4	7.46285034212918	7.46285034212918	7.46285034212918	7.46285034212918	7.609179904085143	7.46285034212918
L1MB7	7.46285034212918	7.46285034212918	7.46285034212918	7.46285034212918	7.46285034212918	7.567975685157366
L1MB8	7.576341968600358	7.46285034212918	7.46285034212918	7.46285034212918	7.46285034212918	7.46285034212918
L1MC1	7.576341968600358	7.46285034212918	7.46285034212918	7.46285034212918	7.566343134089958	7.46285034212918
L1MC2	7.46285034212918	7.565754819303787	7.46285034212918	7.572345620816187	7.46285034212918	7.46285034212918
L1MC3	7.46285034212918	7.46285034212918	7.46285034212918	7.46285034212918	7.609179904085143	7.46285034212918
L1MD2	7.46285034212918	7.565754819303787	7.579630277513461	7.46285034212918	7.46285034212918	7.46285034212918
L1P_MA2	7.802627201436975	7.89787960226138	7.771317452920433	7.7521322884719845	7.755134804503491	7.720069944733333
L1P4e_5end	7.46285034212918	7.46285034212918	7.46285034212918	7.46285034212918	7.609179904085143	7.46285034212918
L1PA10	7.740489971553599	7.714647529838474	7.723694078503634	7.7720320828878116	7.694069340684061	7.672961806742494
L1PA11	7.659322435914353	7.714647529838474	7.831240100012478	7.7074549144521205	7.566343134089958	7.720069944733333
L1PA12	7.85489089843963	7.692757178740072	7.696219467801533	7.681683615436403	7.669703081071264	7.7406181670649445
L1PA12_5	7.716364477192836	7.75347819318818	7.748512809525026	7.617662930115644	7.694069340684061	7.720069944733333
L1PA13	7.915080164476227	7.860224824213129	7.771317452920433	7.7521322884719845	7.912242652221438	7.9310320886653765
L1PA13_5	7.62331040853586	7.692757178740072	7.579630277513461	7.46285034212918	7.566343134089958	7.61148717405923
L1PA14	7.689658485864218	7.714647529838474	7.696219467801533	7.856513530752809	7.716084018191458	7.69771033964318
L1PA15	7.46285034212918	7.565754819303787	7.579630277513461	7.572345620816187	7.46285034212918	7.46285034212918
L1PA16	7.802627201436975	7.6410106824543735	7.46285034212918	7.7074549144521205	7.772798864957119	7.69771033964318
L1PA16_5	7.46285034212918	7.46285034212918	7.46285034212918	7.46285034212918	7.642028373659227	7.46285034212918
L1PA2	7.62331040853586	7.46285034212918	7.46285034212918	7.46285034212918	7.46285034212918	7.567975685157366
L1PA3	7.46285034212918	7.46285034212918	7.66500891589832	7.46285034212918	7.669703081071264	7.46285034212918
L1PA5	7.46285034212918	7.565754819303787	7.46285034212918	7.46285034212918	7.46285034212918	7.567975685157366
L1PA6	7.740489971553599	7.6410106824543735	7.627957085403028	7.617662930115644	7.755134804503491	7.7406181670649445
L1PA7	7.942269749303157	7.89787960226138	7.723694078503634	7.899270675216367	7.875502172981295	7.9310320886653765
L1PA7_5	7.783276902378852	7.734765063805298	7.46285034212918	7.681683615436403	7.642028373659227	7.567975685157366
