gene	SRR14872404	SRR14872403	SRR14872402	SRR14872401
ALU	7.623586293356539	7.7283049776053465	7.72940419571524	7.700897852632935
AluJb	7.77817123096688	7.700000670427692	7.667182214492516	7.817134304052648
AluJr	7.5167328436379925	7.622589982905732	7.623140705236028	7.623108670801753
AluJr4	7.6678119417837465	7.7283049776053465	7.5167328436379925	7.667136941698986
AluSc	7.955706269690587	7.988146535328049	8.024537262238844	8.105057545393358
AluSc5	7.915363923458755	8.010938315846726	7.990578409187492	7.913592460837765
AluSc8	7.83671022506891	7.700000670427692	7.852541728021349	7.927429810902993
AluSg	7.701723993035714	7.8156741231075335	7.852541728021349	7.817134304052648
AluSg1	7.623586293356539	7.622589982905732	7.667182214492516	7.729340256991707
AluSg4	7.799054428907863	7.753224834095593	7.72940419571524	7.700897852632935
AluSg7	7.968331275632662	8.083271620644776	8.18390682076172	8.105057545393358
AluSp	7.900950038787473	7.999681879324961	8.045921085007596	7.953758125622845
AluSq	7.77817123096688	7.8156741231075335	7.884428052660773	7.9663279885881275
AluSq10	7.799054428907863	7.666403901369501	7.797880309868361	7.777005268737244
AluSq2	7.83671022506891	7.753224834095593	8.013485531891998	7.754381533505242
AluSq4	7.77817123096688	7.775739018703648	7.835380697355705	7.700897852632935
AluSx	7.6678119417837465	7.700000670427692	7.835380697355705	7.777005268737244
AluSx1	7.5167328436379925	7.753224834095593	7.70095326268508	7.667136941698986
AluSx3	7.730293553576947	7.7283049776053465	7.72940419571524	7.729340256991707
AluSx4	7.885960160273575	7.7283049776053465	7.817224483394562	7.835285112005868
AluSz	7.5167328436379925	7.5167328436379925	7.667182214492516	7.667136941698986
AluSz6	7.755446628273928	7.5167328436379925	7.940931040556658	7.835285112005868
AluY	7.623586293356539	7.5167328436379925	7.5167328436379925	7.700897852632935
AluYa1	7.5167328436379925	7.5167328436379925	7.754452970865859	7.623108670801753
AluYa4	7.623586293356539	7.5167328436379925	7.623140705236028	7.667136941698986
AluYa5	7.5167328436379925	7.666403901369501	7.5167328436379925	7.623108670801753
AluYb10	7.623586293356539	7.5167328436379925	7.623140705236028	7.700897852632935
AluYb11	7.5167328436379925	7.5167328436379925	7.5167328436379925	7.700897852632935
AluYb3a1	7.5167328436379925	7.700000670427692	7.72940419571524	7.754381533505242
AluYb3a2	7.701723993035714	7.775739018703648	7.8688531407828854	7.8687476089164345
AluYb8a1	7.5167328436379925	7.666403901369501	7.623140705236028	7.5167328436379925
AluYb9	7.701723993035714	7.622589982905732	7.754452970865859	7.623108670801753
AluYbc3a	7.623586293356539	7.5167328436379925	7.852541728021349	7.817134304052648
AluYc2	7.623586293356539	7.7283049776053465	7.623140705236028	7.5167328436379925
AluYc5	7.5167328436379925	7.5167328436379925	7.70095326268508	7.700897852632935
AluYd2	7.701723993035714	7.5167328436379925	7.5167328436379925	7.5167328436379925
AluYd3	7.5167328436379925	7.5167328436379925	7.72940419571524	7.623108670801753
AluYd3a1	8.078717506458691	8.010938315846726	7.990578409187492	8.035189565232114
AluYd8	7.6678119417837465	7.5167328436379925	7.72940419571524	7.700897852632935
AluYe2	7.5167328436379925	7.5167328436379925	7.623140705236028	7.667136941698986
AluYe5	7.6678119417837465	7.7283049776053465	7.92755271658825	7.835285112005868
AluYf1	7.5167328436379925	7.5167328436379925	7.5167328436379925	7.623108670801753
AluYf2	7.5167328436379925	7.666403901369501	7.667182214492516	7.623108670801753
AluYf5	7.701723993035714	7.5167328436379925	7.5167328436379925	7.754381533505242
AluYg6	7.6678119417837465	7.5167328436379925	7.72940419571524	7.700897852632935
AluYh9	7.929262221356853	7.882534321796148	7.95388879464952	7.927429810902993
AluYi6	7.5167328436379925	7.5167328436379925	7.5167328436379925	7.667136941698986
AluYk11	7.5167328436379925	7.5167328436379925	7.623140705236028	7.5167328436379925
