gene	SRR12223775	SRR12223774	SRR12223773	SRR12223772
AluSc	5.171253771770254	4.858509898038195	5.088392228700783	4.854684608377395
AluSc5	4.569266123987225	5.068594493244977	4.8298772843404025	4.854684608377395
AluSc8	5.262739857487543	4.977639296505498	4.569266123987225	4.854684608377395
AluSg	4.569266123987225	4.977639296505498	4.8298772843404025	5.137357124778988
AluSg4	4.569266123987225	4.569266123987225	4.569266123987225	4.854684608377395
AluSg7	5.061962754792024	4.858509898038195	5.203382039618271	5.3172391910871
AluSp	5.061962754792024	5.211795160969737	5.253291273029358	4.854684608377395
AluSq	4.918497456545486	5.068594493244977	5.203382039618271	5.137357124778988
AluSq2	4.569266123987225	4.569266123987225	5.019443278408108	4.569266123987225
AluSq4	4.569266123987225	4.858509898038195	4.569266123987225	4.9722559716360415
AluSx	4.569266123987225	4.858509898038195	4.569266123987225	4.569266123987225
AluSx1	4.569266123987225	4.569266123987225	4.569266123987225	4.854684608377395
AluSx4	5.171253771770254	4.977639296505498	5.088392228700783	5.137357124778988
AluSz	4.918497456545486	4.569266123987225	4.569266123987225	4.569266123987225
AluSz6	5.171253771770254	4.569266123987225	4.8298772843404025	4.569266123987225
AluYb3a2	4.569266123987225	4.569266123987225	4.569266123987225	4.569266123987225
AluYbc3a	4.569266123987225	4.569266123987225	4.569266123987225	4.854684608377395
AluYd2	4.569266123987225	4.569266123987225	4.569266123987225	5.062033219597047
AluYd3	4.569266123987225	4.569266123987225	4.569266123987225	5.062033219597047
AluYe5	4.569266123987225	4.569266123987225	4.8298772843404025	4.569266123987225
AluYf1	4.569266123987225	4.569266123987225	4.8298772843404025	4.569266123987225
AluYf2	4.569266123987225	4.569266123987225	4.937328297160976	4.569266123987225
AluYf5	4.569266123987225	4.569266123987225	4.8298772843404025	4.569266123987225
AluYh9	4.569266123987225	4.569266123987225	4.8298772843404025	4.569266123987225
AluYk13	4.569266123987225	4.569266123987225	4.8298772843404025	4.569266123987225
ERVL	4.569266123987225	4.977639296505498	5.088392228700783	5.062033219597047
ERVL-B4	4.569266123987225	4.569266123987225	4.937328297160976	4.569266123987225
HARLEQUIN	6.734609897898711	6.980911711464008	7.006107033812508	7.113714998272818
HERV-Fc1	4.569266123987225	5.73211252622902	5.45910536452303	5.3172391910871
HERV-Fc2	4.569266123987225	4.569266123987225	4.569266123987225	5.137357124778988
HERV-K14CI	4.569266123987225	4.977639296505498	5.019443278408108	4.9722559716360415
HERV-K14I	5.061962754792024	5.5132563226910145	5.679211356293441	5.459137461376369
HERV1_I	4.569266123987225	4.569266123987225	4.8298772843404025	4.9722559716360415
HERV1_LTRb	4.569266123987225	4.977639296505498	4.937328297160976	4.569266123987225
HERV17	6.100643148150642	5.8540869733210785	6.066903410748712	5.8933547502480685
HERV19I	5.171253771770254	4.858509898038195	4.8298772843404025	4.854684608377395
HERV3	4.569266123987225	5.425815451648084	5.088392228700783	4.854684608377395
HERV4_I	6.133547166475003	5.553704667554202	5.6509358032037085	5.684804122897792
HERV49I	4.569266123987225	4.858509898038195	4.569266123987225	4.569266123987225
HERV9	5.74886134615492	5.629322645940126	5.784561039592986	5.684804122897792
HERVE	4.569266123987225	5.211795160969737	4.8298772843404025	4.854684608377395
HERVE_a	5.540982672799572	5.592325810406938	5.422310177142268	5.717453487291158
HERVH	10.038989338045138	11.057721356937535	10.004559273094127	10.695239392457934
HERVIP10F	6.4700901280592795	5.6990863800334495	5.987687603894379	6.15517782954017
HERVIP10FH	7.14310608473569	6.632986253517737	6.520969630755046	7.0418114750369964
HERVK	8.025682013838361	8.284691740837784	8.029403891926638	8.438635959844666
HERVK11DI	4.569266123987225	4.858509898038195	4.569266123987225	4.569266123987225
HERVK11I	6.03181217226891	5.882412000859336	6.227138603603447	6.066954615093165
HERVK13I	4.569266123987225	4.569266123987225	4.8298772843404025	4.569266123987225
HERVK22I	5.837892538859864	5.211795160969737	5.621759439698969	5.414766707762107
HERVK3I	4.918497456545486	4.569266123987225	4.937328297160976	4.569266123987225
HERVK9I	7.3217959558568255	7.238241510080658	7.304730117126913	7.200908531841351
HERVL	6.954376693918812	7.414140064001373	7.0592055996289425	7.162841627162018
HERVL66I	5.262739857487543	5.629322645940126	5.6509358032037085	5.6158466526792035
HERVS71	4.569266123987225	4.858509898038195	4.569266123987225	4.569266123987225
HUERS-P1	5.061962754792024	5.425815451648084	5.494265546414459	5.459137461376369
L1	5.262739857487543	5.988654696671899	6.104497051339326	6.350328959237873
L1HS	5.171253771770254	6.315808407472935	6.748025908475263	6.350328959237873
L1M1_5	5.171253771770254	5.211795160969737	5.383656031983307	5.262838114410168
L1M1B_5	4.918497456545486	4.977639296505498	5.148896705284012	4.569266123987225
L1M2C_5	5.061962754792024	4.977639296505498	4.569266123987225	4.569266123987225
L1MA1	5.480290692730769	5.909986245254295	5.75927929930995	5.809257365994329
L1MA2	5.480290692730769	5.592325810406938	5.679211356293441	5.650974263564925
L1MA3	5.414648007225812	5.211795160969737	5.383656031983307	5.203405260376801
L1MA4	5.061962754792024	5.211795160969737	5.088392228700783	4.9722559716360415
L1MA4A	4.569266123987225	4.569266123987225	5.088392228700783	4.854684608377395
L1MA5	4.569266123987225	4.569266123987225	4.569266123987225	4.569266123987225
L1MA5A	4.569266123987225	4.569266123987225	4.8298772843404025	5.137357124778988
L1MA7	4.569266123987225	4.569266123987225	4.8298772843404025	4.569266123987225
L1MA9	4.918497456545486	5.068594493244977	5.203382039618271	4.569266123987225
L1MB3_5	4.918497456545486	4.569266123987225	4.8298772843404025	4.569266123987225
L1MC1	4.569266123987225	4.569266123987225	5.019443278408108	4.854684608377395
L1P_MA2	5.061962754792024	5.470731045977247	5.527972603017766	5.5411179189649244
L1PA10	5.262739857487543	5.66486273030402	5.6509358032037085	5.717453487291158
L1PA11	5.414648007225812	5.553704667554202	5.422310177142268	5.5011515135884315
L1PA12	4.569266123987225	4.569266123987225	5.019443278408108	4.854684608377395
L1PA12_5	4.569266123987225	4.569266123987225	4.937328297160976	4.9722559716360415
L1PA13	5.061962754792024	5.5132563226910145	5.527972603017766	5.5411179189649244
L1PA13_5	4.918497456545486	4.977639296505498	4.569266123987225	4.854684608377395
