gene	SRR5185923	SRR5185922	SRR5185921	SRR5185920	SRR5185919	SRR5185918
ALU	6.479644154972615	6.398991462840037	6.541142781902767	6.1753814365887	6.394909084777842	6.296802818527102
AluJb	6.406444686520297	6.374850682560048	6.356934921198151	6.362351618694165	6.266402588763279	6.3417380748973455
AluJo	5.7746180552250514	5.949036460571145	5.7746180552250514	5.938667183757431	5.7746180552250514	5.7746180552250514
AluJr	5.7746180552250514	6.122821573744134	6.151982080008323	6.1406581212549485	5.9954016500402725	5.7746180552250514
AluJr4	5.7746180552250514	5.7746180552250514	6.112334124728457	5.938667183757431	5.9954016500402725	5.932844222382066
AluSc	6.223157237672628	6.486943908104071	6.151982080008323	6.1753814365887	6.2149056404996665	6.161227864232237
AluSc5	6.223157237672628	6.122821573744134	6.112334124728457	6.058454598140143	5.7746180552250514	6.127717890927698
AluSc8	5.7746180552250514	6.374850682560048	6.151982080008323	6.102189001746486	6.156285756992239	5.998271785024652
AluSg	6.092419155650824	6.349637107438769	6.067255037369025	6.102189001746486	5.7746180552250514	6.090597075378119
AluSg1	5.7746180552250514	6.0211331731248645	6.187765900144053	6.058454598140143	5.9954016500402725	5.7746180552250514
AluSg4	6.223157237672628	6.265871537703112	6.112334124728457	6.1753814365887	6.4999264986272	6.161227864232237
AluSg7	6.32287428751968	6.265871537703112	6.187765900144053	6.207262119432214	6.266402588763279	6.3417380748973455
AluSp	6.092419155650824	6.265871537703112	6.2511427653064375	6.102189001746486	6.312826676813031	6.3417380748973455
AluSq	5.7746180552250514	6.234418376368161	6.306791746642443	6.102189001746486	6.312826676813031	6.161227864232237
AluSq10	5.7746180552250514	6.0211331731248645	6.151982080008323	6.058454598140143	5.7746180552250514	6.161227864232237
AluSq2	6.092419155650824	6.122821573744134	5.7746180552250514	6.236888982859232	6.086550028992519	5.7746180552250514
AluSq4	6.092419155650824	6.076353367179332	6.067255037369025	6.006493909657488	5.9954016500402725	6.048400180389818
AluSx	6.223157237672628	5.949036460571145	6.151982080008323	5.938667183757431	6.156285756992239	6.090597075378119
AluSx1	6.092419155650824	6.265871537703112	6.151982080008323	6.058454598140143	6.156285756992239	6.191997887886984
AluSx3	6.32287428751968	6.076353367179332	6.306791746642443	6.207262119432214	6.3553970913928515	6.127717890927698
AluSx4	6.223157237672628	6.200565638460911	6.2206170371911265	6.102189001746486	6.086550028992519	6.191997887886984
AluSz	6.092419155650824	5.949036460571145	5.943764993876928	5.7746180552250514	5.7746180552250514	5.7746180552250514
AluSz6	6.32287428751968	6.374850682560048	6.306791746642443	6.1406581212549485	6.156285756992239	6.220595706329949
AluY	6.092419155650824	5.7746180552250514	5.7746180552250514	5.7746180552250514	6.086550028992519	5.932844222382066
AluYa1	5.7746180552250514	5.949036460571145	6.013691340352994	5.7746180552250514	5.7746180552250514	5.7746180552250514
AluYa5	5.7746180552250514	5.7746180552250514	6.013691340352994	5.7746180552250514	5.7746180552250514	5.7746180552250514
AluYa8	5.7746180552250514	5.7746180552250514	5.7746180552250514	5.7746180552250514	5.7746180552250514	5.7746180552250514
AluYb11	5.7746180552250514	5.949036460571145	5.7746180552250514	5.938667183757431	5.7746180552250514	5.7746180552250514
AluYb3a1	5.7746180552250514	6.16368694335305	6.2206170371911265	5.7746180552250514	5.9954016500402725	5.932844222382066
AluYb3a2	6.092419155650824	6.349637107438769	6.151982080008323	6.315821672996898	6.312826676813031	6.319755449391519
AluYb8	5.7746180552250514	5.7746180552250514	5.7746180552250514	5.938667183757431	5.7746180552250514	5.7746180552250514
AluYb8a1	5.7746180552250514	5.949036460571145	6.2206170371911265	5.7746180552250514	5.7746180552250514	6.048400180389818
AluYb9	5.7746180552250514	6.0211331731248645	5.7746180552250514	6.058454598140143	6.086550028992519	6.048400180389818
AluYbc3a	6.223157237672628	6.16368694335305	6.112334124728457	5.7746180552250514	6.266402588763279	6.090597075378119
AluYc1	5.7746180552250514	5.7746180552250514	6.013691340352994	5.7746180552250514	5.9954016500402725	5.932844222382066
AluYc2	5.7746180552250514	6.0211331731248645	6.112334124728457	5.7746180552250514	5.7746180552250514	5.7746180552250514
AluYd2	5.7746180552250514	6.0211331731248645	5.7746180552250514	5.7746180552250514	5.9954016500402725	5.7746180552250514
AluYd3	5.7746180552250514	6.0211331731248645	5.7746180552250514	5.7746180552250514	6.156285756992239	5.932844222382066
AluYd3a1	6.406444686520297	6.650986259403425	6.523077677257155	6.2909070884433165	6.2149056404996665	6.319755449391519
AluYd8	6.092419155650824	6.0211331731248645	5.943764993876928	6.006493909657488	5.7746180552250514	5.932844222382066
AluYe2	5.7746180552250514	5.949036460571145	5.7746180552250514	5.938667183757431	5.9954016500402725	5.932844222382066
AluYe5	5.7746180552250514	6.076353367179332	5.7746180552250514	5.7746180552250514	5.9954016500402725	6.220595706329949
AluYf1	5.7746180552250514	5.7746180552250514	5.7746180552250514	5.938667183757431	5.7746180552250514	5.7746180552250514
AluYf2	5.7746180552250514	5.7746180552250514	5.7746180552250514	5.7746180552250514	5.7746180552250514	5.932844222382066
AluYf5	6.32287428751968	5.949036460571145	6.2206170371911265	6.2909070884433165	6.312826676813031	6.220595706329949
AluYg6	6.092419155650824	5.949036460571145	5.943764993876928	6.006493909657488	6.2149056404996665	5.998271785024652
AluYh9	6.762229223948705	6.800044181984332	6.756800145272529	6.535637335659424	6.671317076833909	6.383209981393292
AluYi6	5.7746180552250514	5.949036460571145	5.7746180552250514	5.938667183757431	5.7746180552250514	5.7746180552250514
AluYk11	5.7746180552250514	5.7746180552250514	5.7746180552250514	5.938667183757431	5.7746180552250514	5.7746180552250514
